term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Vital Signs,Documentation,False,Vital Signs,,Measurements of basic body functions including temperature pulse respiration and blood pressure.,Vital signs stable within normal limits.,{},"{vitals}","{documentation,clinical}"
Progress Note,Documentation,False,Progress Note,,Documentation of patient status and plan during an ongoing episode of care.,Progress note shows improvement in symptoms.,{},"{}","{documentation,clinical}"
Discharge Summary,Documentation,False,Discharge Summary,,A report prepared when a patient leaves the hospital summarizing the stay and follow-up.,Discharge summary sent to PCP.,{},"{}","{documentation,clinical}"
H&P,Documentation,True,History and Physical,,A comprehensive initial evaluation including patient history and physical examination.,Complete H&P documented on admission.,{},"{}","{documentation,clinical}"
Impression,Documentation,False,Clinical Impression,,The clinician's interpretation and conclusion about the patient's condition.,Impression is acute bronchitis.,{},"{}","{documentation,clinical}"
Plan of Care,Documentation,False,Plan of Care,,The treatment strategy and follow-up plans for the patient's condition.,Plan of care includes antibiotics and recheck in 3 days.,{},"{treatment plan}","{documentation,clinical}"
Orders,Documentation,False,Medical Orders,,Instructions for medications tests or treatments written by the provider.,Orders include CBC and basic metabolic panel.,{},"{}","{documentation,clinical}"
CBC,Lab Panel,True,Complete Blood Count,,A blood test that measures different components of blood including RBCs WBCs platelets hemoglobin and hematocrit.,Order CBC to evaluate for anemia.,{},"{complete blood count}","{lab,diagnostic,hematology}"
WBC,Lab Test,True,White Blood Cell Count,,Measures the number of white blood cells which fight infection.,Elevated WBC suggests infection.,{},"{leukocyte count}","{lab,diagnostic,hematology}"
RBC,Lab Test,True,Red Blood Cell Count,,Measures the number of red blood cells which carry oxygen.,Low RBC indicates anemia.,{},"{erythrocyte count}","{lab,diagnostic,hematology}"
Hemoglobin,Lab Test,False,Hemoglobin,,A protein in red blood cells that carries oxygen throughout the body.,Hemoglobin is 10.2 indicating anemia.,{},"{Hgb,Hb}","{lab,diagnostic,hematology}"
Hematocrit,Lab Test,False,Hematocrit,,The percentage of blood volume occupied by red blood cells.,Hematocrit of 32% is below normal.,{},"{Hct}","{lab,diagnostic,hematology}"
Platelet Count,Lab Test,False,Platelet Count,,Measures the number of platelets which help blood clot.,Low platelet count increases bleeding risk.,{},"{PLT}","{lab,diagnostic,hematology}"
MCV,Lab Test,True,Mean Corpuscular Volume,,Measures the average size of red blood cells.,High MCV suggests B12 or folate deficiency.,{},"{}","{lab,diagnostic,hematology}"
MCH,Lab Test,True,Mean Corpuscular Hemoglobin,,Measures the average amount of hemoglobin per red blood cell.,MCH helps classify type of anemia.,{},"{}","{lab,diagnostic,hematology}"
MCHC,Lab Test,True,Mean Corpuscular Hemoglobin Concentration,,Measures the average concentration of hemoglobin in red blood cells.,MCHC elevated in hereditary spherocytosis.,{},"{}","{lab,diagnostic,hematology}"
RDW,Lab Test,True,Red Cell Distribution Width,,Measures variation in red blood cell size.,Elevated RDW indicates mixed anemia types.,{},"{}","{lab,diagnostic,hematology}"
Differential,Lab Test,False,Differential Count,,A breakdown of the types of white blood cells present.,Differential shows neutrophilia.,{},"{diff,WBC diff}","{lab,diagnostic,hematology}"
Neutrophils,Lab Test,False,Neutrophils,,A type of white blood cell that fights bacterial infections.,Elevated neutrophils indicate bacterial infection.,{},"{polys,PMNs}","{lab,diagnostic,hematology}"
Lymphocytes,Lab Test,False,Lymphocytes,,White blood cells important for immune response especially viral infections.,Elevated lymphocytes suggest viral infection.,{},"{lymphs}","{lab,diagnostic,hematology}"
Monocytes,Lab Test,False,Monocytes,,White blood cells that become macrophages and fight pathogens.,Elevated monocytes in chronic inflammation.,{},"{monos}","{lab,diagnostic,hematology}"
Eosinophils,Lab Test,False,Eosinophils,,White blood cells involved in allergic reactions and parasitic infections.,Elevated eosinophils suggest allergies or parasites.,{},"{eos}","{lab,diagnostic,hematology}"
Basophils,Lab Test,False,Basophils,,White blood cells involved in allergic and inflammatory responses.,Elevated basophils are rare.,{},"{basos}","{lab,diagnostic,hematology}"
BMP,Lab Panel,True,Basic Metabolic Panel,,A blood test measuring electrolytes kidney function and glucose.,Order BMP to check kidney function.,{},"{}","{lab,diagnostic,chemistry}"
Sodium,Lab Test,False,Sodium,,An electrolyte that helps maintain fluid balance and nerve function.,Sodium level is 138 mEq/L.,{},"{Na}","{lab,diagnostic,chemistry}"
Potassium,Lab Test,False,Potassium,,An electrolyte critical for heart and muscle function.,Potassium is 4.2 mEq/L.,{},"{K}","{lab,diagnostic,chemistry}"
Chloride,Lab Test,False,Chloride,,An electrolyte that helps maintain fluid and acid-base balance.,Chloride level is normal at 102 mEq/L.,{},"{Cl}","{lab,diagnostic,chemistry}"
CO2,Lab Test,False,Carbon Dioxide,,Measures bicarbonate and reflects acid-base status.,CO2 of 24 indicates normal acid-base balance.,{},"{bicarbonate,HCO3}","{lab,diagnostic,chemistry}"
BUN,Lab Test,True,Blood Urea Nitrogen,,Measures waste product filtered by kidneys indicating kidney function.,Elevated BUN suggests kidney impairment.,{},"{}","{lab,diagnostic,chemistry,renal}"
Creatinine,Lab Test,False,Creatinine,,A waste product used to assess kidney function.,Creatinine of 1.8 indicates decreased kidney function.,{},"{Cr}","{lab,diagnostic,chemistry,renal}"
Glucose,Lab Test,False,Blood Glucose,,Measures the amount of sugar in the blood.,Fasting glucose is 110 mg/dL.,{},"{blood sugar}","{lab,diagnostic,chemistry,diabetes}"
CMP,Lab Panel,True,Comprehensive Metabolic Panel,,An expanded blood test including BMP plus liver function tests and proteins.,Order CMP for complete metabolic assessment.,{},"{}","{lab,diagnostic,chemistry}"
Total Protein,Lab Test,False,Total Protein,,Measures all proteins in blood including albumin and globulin.,Total protein helps assess nutrition and liver function.,{},"{}","{lab,diagnostic,chemistry}"
Albumin,Lab Test,False,Albumin,,A protein made by the liver important for maintaining fluid balance.,Low albumin indicates malnutrition or liver disease.,{},"{}","{lab,diagnostic,chemistry}"
AST,Lab Test,True,Aspartate Aminotransferase,,A liver enzyme that indicates liver damage when elevated.,AST of 85 suggests liver inflammation.,{},"{SGOT}","{lab,diagnostic,chemistry,hepatic}"
ALT,Lab Test,True,Alanine Aminotransferase,,A liver enzyme more specific to liver damage than AST.,Elevated ALT indicates hepatocellular injury.,{},"{SGPT}","{lab,diagnostic,chemistry,hepatic}"
ALP,Lab Test,True,Alkaline Phosphatase,,An enzyme found in liver and bone elevated in cholestasis and bone disorders.,Elevated ALP suggests biliary obstruction.,{},"{}","{lab,diagnostic,chemistry,hepatic}"
Total Bilirubin,Lab Test,False,Total Bilirubin,,A breakdown product of red blood cells elevated in liver disease or hemolysis.,Elevated bilirubin causes jaundice.,{},"{}","{lab,diagnostic,chemistry,hepatic}"
Direct Bilirubin,Lab Test,False,Direct Bilirubin,,Conjugated bilirubin elevated in biliary obstruction.,Direct bilirubin is elevated in cholestasis.,{},"{}","{lab,diagnostic,chemistry,hepatic}"
Indirect Bilirubin,Lab Test,False,Indirect Bilirubin,,Unconjugated bilirubin elevated in hemolysis.,Indirect bilirubin elevated in hemolytic anemia.,{},"{}","{lab,diagnostic,chemistry,hepatic}"
Calcium,Lab Test,False,Calcium,,An electrolyte important for bone health nerve and muscle function.,Calcium level is 9.5 mg/dL.,{},"{Ca}","{lab,diagnostic,chemistry}"
Lipid Panel,Lab Panel,False,Lipid Panel,,A blood test measuring cholesterol and triglycerides to assess cardiovascular risk.,Fasting lipid panel shows elevated LDL.,{},"{cholesterol panel}","{lab,diagnostic,chemistry,cardiology}"
Total Cholesterol,Lab Test,False,Total Cholesterol,,Measures all cholesterol in blood including HDL and LDL.,Total cholesterol is 220 mg/dL.,{},"{}","{lab,diagnostic,chemistry,cardiology}"
HDL,Lab Test,True,High-Density Lipoprotein,,Good cholesterol that helps remove other forms of cholesterol from bloodstream.,HDL of 55 mg/dL is protective.,{},"{good cholesterol}","{lab,diagnostic,chemistry,cardiology}"
LDL,Lab Test,True,Low-Density Lipoprotein,,Bad cholesterol that can build up in arteries increasing heart disease risk.,LDL of 150 mg/dL is above target.,{},"{bad cholesterol}","{lab,diagnostic,chemistry,cardiology}"
Triglycerides,Lab Test,False,Triglycerides,,A type of fat in blood elevated levels increase cardiovascular risk.,Triglycerides are 180 mg/dL.,{},"{TG}","{lab,diagnostic,chemistry,cardiology}"
VLDL,Lab Test,True,Very Low-Density Lipoprotein,,A type of cholesterol that carries triglycerides in blood.,VLDL is calculated from triglycerides.,{},"{}","{lab,diagnostic,chemistry,cardiology}"
HbA1c,Lab Test,True,Hemoglobin A1c,,Measures average blood glucose over the past 2-3 months used to diagnose and monitor diabetes.,HbA1c of 7.2% indicates suboptimal diabetes control.,{},"{glycated hemoglobin,A1c}","{lab,diagnostic,chemistry,diabetes}"
Thyroid Panel,Lab Panel,False,Thyroid Panel,,A group of tests measuring thyroid function including TSH T3 and T4.,Thyroid panel ordered to evaluate hypothyroidism.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
TSH,Lab Test,True,Thyroid-Stimulating Hormone,,A hormone that regulates thyroid function elevated in hypothyroidism.,TSH of 8.5 indicates hypothyroidism.,{},"{thyrotropin}","{lab,diagnostic,chemistry,endocrine}"
T3,Lab Test,True,Triiodothyronine,,Active thyroid hormone important for metabolism.,Free T3 helps assess thyroid function.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
T4,Lab Test,True,Thyroxine,,Main hormone produced by thyroid gland.,Free T4 measures unbound hormone.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Free T3,Lab Test,False,Free Triiodothyronine,,Unbound active thyroid hormone available to tissues.,Free T3 is low in hypothyroidism.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Free T4,Lab Test,False,Free Thyroxine,,Unbound thyroid hormone not attached to proteins.,Free T4 is the preferred thyroid function test.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Coagulation Panel,Lab Panel,False,Coagulation Panel,,Tests measuring blood clotting function including PT PTT and INR.,Coag panel ordered before surgery.,{},"{coag panel}","{lab,diagnostic,hematology}"
PT,Lab Test,True,Prothrombin Time,,Measures how long it takes blood to clot evaluates extrinsic clotting pathway.,PT is 12.5 seconds within normal range.,{},"{}","{lab,diagnostic,hematology,coagulation}"
INR,Lab Test,True,International Normalized Ratio,,Standardized measure of PT used to monitor warfarin therapy.,INR goal is 2-3 for atrial fibrillation.,{},"{}","{lab,diagnostic,hematology,coagulation}"
PTT,Lab Test,True,Partial Thromboplastin Time,,Measures intrinsic clotting pathway used to monitor heparin therapy.,PTT is prolonged on heparin therapy.,{},"{aPTT}","{lab,diagnostic,hematology,coagulation}"
D-dimer,Lab Test,False,D-dimer,,A fibrin degradation product elevated in blood clots.,Elevated D-dimer suggests possible DVT or PE.,{},"{}","{lab,diagnostic,hematology,coagulation}"
Iron Studies,Lab Panel,False,Iron Studies,,A group of tests evaluating iron status including serum iron TIBC ferritin and transferrin.,Iron studies ordered to evaluate anemia.,{},"{}","{lab,diagnostic,chemistry,hematology}"
Serum Iron,Lab Test,False,Serum Iron,,Measures the amount of iron in blood.,Low serum iron suggests iron deficiency.,{},"{}","{lab,diagnostic,chemistry,hematology}"
TIBC,Lab Test,True,Total Iron-Binding Capacity,,Measures blood's capacity to bind and transport iron.,Elevated TIBC in iron deficiency anemia.,{},"{}","{lab,diagnostic,chemistry,hematology}"
Ferritin,Lab Test,False,Ferritin,,A protein that stores iron reflects total body iron stores.,Low ferritin confirms iron deficiency.,{},"{}","{lab,diagnostic,chemistry,hematology}"
Transferrin,Lab Test,False,Transferrin,,A protein that transports iron in blood.,Transferrin saturation helps diagnose iron disorders.,{},"{}","{lab,diagnostic,chemistry,hematology}"
CRP,Lab Test,True,C-Reactive Protein,,A marker of inflammation in the body elevated in infections and inflammatory conditions.,Elevated CRP indicates active inflammation.,{},"{}","{lab,diagnostic,chemistry,inflammation}"
ESR,Lab Test,True,Erythrocyte Sedimentation Rate,,A nonspecific test measuring inflammation by how fast RBCs settle.,Elevated ESR suggests inflammatory process.,{},"{sed rate}","{lab,diagnostic,hematology,inflammation}"
Troponin,Lab Test,False,Troponin,,A cardiac enzyme released during heart muscle damage used to diagnose heart attack.,Elevated troponin confirms myocardial infarction.,{},"{cTn,troponin I,troponin T}","{lab,diagnostic,chemistry,cardiology}"
BNP,Lab Test,True,B-type Natriuretic Peptide,,A hormone released by heart ventricles elevated in heart failure.,BNP of 450 indicates heart failure.,{},"{}","{lab,diagnostic,chemistry,cardiology}"
ProBNP,Lab Test,True,N-terminal pro-B-type Natriuretic Peptide,,A precursor to BNP more stable marker for heart failure.,NT-proBNP is elevated in decompensated heart failure.,{},"{NT-proBNP}","{lab,diagnostic,chemistry,cardiology}"
PSA,Lab Test,True,Prostate-Specific Antigen,,A protein produced by prostate gland elevated in prostate cancer or enlargement.,PSA screening in men over 50.,{},"{}","{lab,diagnostic,chemistry,oncology}"
CEA,Lab Test,True,Carcinoembryonic Antigen,,A tumor marker elevated in colorectal and other cancers.,CEA monitored in colon cancer patients.,{},"{}","{lab,diagnostic,chemistry,oncology}"
CA 19-9,Lab Test,False,Carbohydrate Antigen 19-9,,A tumor marker for pancreatic and gastrointestinal cancers.,CA 19-9 elevated in pancreatic cancer.,{},"{}","{lab,diagnostic,chemistry,oncology}"
CA-125,Lab Test,False,Cancer Antigen 125,,A tumor marker for ovarian cancer.,CA-125 monitored in ovarian cancer treatment.,{},"{}","{lab,diagnostic,chemistry,oncology}"
AFP,Lab Test,True,Alpha-Fetoprotein,,A tumor marker for liver cancer and germ cell tumors.,Elevated AFP suggests hepatocellular carcinoma.,{},"{}","{lab,diagnostic,chemistry,oncology}"
Urinalysis,Lab Panel,False,Urinalysis,,A test examining urine for signs of kidney disease infection or other conditions.,UA shows bacteria and WBCs.,{},"{UA}","{lab,diagnostic,urology}"
Urine Culture,Lab Test,False,Urine Culture,,A test to identify bacteria causing urinary tract infection.,Urine culture grew E. coli sensitive to ciprofloxacin.,{},"{}","{lab,diagnostic,microbiology,urology}"
Blood Culture,Lab Test,False,Blood Culture,,A test to detect bacteria or fungi in bloodstream.,Blood cultures drawn before starting antibiotics.,{},"{}","{lab,diagnostic,microbiology}"
Sputum Culture,Lab Test,False,Sputum Culture,,A test to identify organisms causing respiratory infection.,Sputum culture positive for Streptococcus pneumoniae.,{},"{}","{lab,diagnostic,microbiology,pulmonary}"
GFR,Lab Test,True,Glomerular Filtration Rate,,Calculated estimate of kidney function based on creatinine age and gender.,eGFR of 55 indicates stage 3 chronic kidney disease.,{},"{eGFR}","{lab,diagnostic,chemistry,renal}"
Microalbumin,Lab Test,False,Microalbuminuria,,Small amounts of albumin in urine indicating early kidney damage.,Microalbumin screen positive in diabetic patient.,{},"{urine albumin}","{lab,diagnostic,chemistry,renal}"
Vitamin D,Lab Test,False,25-Hydroxyvitamin D,,Measures vitamin D levels in blood.,Vitamin D level is 22 indicating deficiency.,{},"{25-OH vitamin D}","{lab,diagnostic,chemistry}"
Vitamin B12,Lab Test,False,Vitamin B12,,Measures B12 levels important for nerve function and RBC production.,Low B12 causes macrocytic anemia.,{},"{cobalamin}","{lab,diagnostic,chemistry}"
Folate,Lab Test,False,Folate,,Measures folic acid levels important for cell division and RBC production.,Low folate causes megaloblastic anemia.,{},"{folic acid}","{lab,diagnostic,chemistry}"
Magnesium,Lab Test,False,Magnesium,,An electrolyte important for muscle and nerve function.,Magnesium level is 1.8 mEq/L.,{},"{Mg}","{lab,diagnostic,chemistry}"
Phosphorus,Lab Test,False,Phosphorus,,A mineral important for bone health and energy metabolism.,Phosphorus level checked in kidney disease.,{},"{phosphate}","{lab,diagnostic,chemistry}"
Uric Acid,Lab Test,False,Uric Acid,,A waste product elevated in gout and kidney stones.,Elevated uric acid level triggers gout attack.,{},"{}","{lab,diagnostic,chemistry}"
Ammonia,Lab Test,False,Ammonia,,A waste product metabolized by liver elevated in liver failure.,Elevated ammonia causes hepatic encephalopathy.,{},"{}","{lab,diagnostic,chemistry,hepatic}"
Lactate,Lab Test,False,Lactate,,A byproduct of metabolism elevated in tissue hypoxia or shock.,Elevated lactate indicates sepsis.,{},"{lactic acid}","{lab,diagnostic,chemistry}"
Amylase,Lab Test,False,Amylase,,An enzyme that digests carbohydrates elevated in pancreatitis.,Amylase of 300 suggests acute pancreatitis.,{},"{}","{lab,diagnostic,chemistry}"
Lipase,Lab Test,False,Lipase,,An enzyme that digests fats more specific for pancreatitis than amylase.,Lipase elevated in pancreatic inflammation.,{},"{}","{lab,diagnostic,chemistry}"
CK,Lab Test,True,Creatine Kinase,,An enzyme in muscle and heart tissue elevated in muscle damage.,Elevated CK after intense exercise.,{},"{creatine phosphokinase,CPK}","{lab,diagnostic,chemistry}"
CK-MB,Lab Test,False,Creatine Kinase-MB,,A cardiac-specific enzyme elevated in heart attack.,CK-MB elevation confirms myocardial damage.,{},"{}","{lab,diagnostic,chemistry,cardiology}"
LDH,Lab Test,True,Lactate Dehydrogenase,,An enzyme found in many tissues elevated in hemolysis liver disease and MI.,LDH elevated in hemolytic anemia.,{},"{}","{lab,diagnostic,chemistry}"
Cortisol,Lab Test,False,Cortisol,,A hormone produced by adrenal glands involved in stress response.,Morning cortisol low in adrenal insufficiency.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
ACTH,Lab Test,True,Adrenocorticotropic Hormone,,A pituitary hormone that stimulates cortisol production.,ACTH stimulation test evaluates adrenal function.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Testosterone,Lab Test,False,Testosterone,,A hormone important for male sexual development and function.,Low testosterone causes hypogonadism.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Estradiol,Lab Test,False,Estradiol,,A form of estrogen important for female reproductive function.,Estradiol levels monitored in fertility treatment.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Progesterone,Lab Test,False,Progesterone,,A hormone important for menstrual cycle and pregnancy.,Progesterone level confirms ovulation.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
FSH,Lab Test,True,Follicle-Stimulating Hormone,,A hormone that regulates reproductive processes.,Elevated FSH indicates menopause.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
LH,Lab Test,True,Luteinizing Hormone,,A hormone that triggers ovulation and regulates sex hormones.,LH surge triggers ovulation.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
Prolactin,Lab Test,False,Prolactin,,A hormone that stimulates milk production.,Elevated prolactin causes galactorrhea.,{},"{}","{lab,diagnostic,chemistry,endocrine}"
hCG,Lab Test,True,Human Chorionic Gonadotropin,,A hormone produced during pregnancy used in pregnancy tests.,Positive hCG confirms pregnancy.,{},"{beta-hCG}","{lab,diagnostic,chemistry,pregnancy}"
Digoxin Level,Lab Test,False,Digoxin Level,,Measures blood level of digoxin to ensure therapeutic dosing.,Digoxin level is 1.2 ng/mL therapeutic range.,{},"{}","{lab,diagnostic,chemistry,therapeutic-drug}"
Vancomycin Level,Lab Test,False,Vancomycin Level,,Measures blood level of vancomycin antibiotic to guide dosing.,Vancomycin trough is 18 mcg/mL.,{},"{}","{lab,diagnostic,chemistry,therapeutic-drug}"
Phenytoin Level,Lab Test,False,Phenytoin Level,,Measures blood level of anti-seizure medication phenytoin.,Phenytoin level subtherapeutic at 6 mcg/mL.,{},"{Dilantin level}","{lab,diagnostic,chemistry,therapeutic-drug}"
Theophylline Level,Lab Test,False,Theophylline Level,,Measures blood level of theophylline bronchodilator medication.,Theophylline level is 12 mcg/mL within range.,{},"{}","{lab,diagnostic,chemistry,therapeutic-drug}"
HIV Test,Lab Test,False,HIV Test,,A screening test for human immunodeficiency virus.,Fourth generation HIV test is preferred.,{},"{HIV antibody,HIV antigen}","{lab,diagnostic,immunology,infectious}"
Hepatitis Panel,Lab Panel,False,Hepatitis Panel,,Tests for hepatitis A B and C viruses.,Hepatitis panel ordered for jaundiced patient.,{},"{}","{lab,diagnostic,immunology,infectious}"
HBsAg,Lab Test,True,Hepatitis B Surface Antigen,,A marker of active hepatitis B infection.,Positive HBsAg indicates current HBV infection.,{},"{}","{lab,diagnostic,immunology,infectious}"
Anti-HBs,Lab Test,False,Hepatitis B Surface Antibody,,Indicates immunity to hepatitis B from vaccine or past infection.,Positive anti-HBs shows HBV immunity.,{},"{}","{lab,diagnostic,immunology,infectious}"
HCV Antibody,Lab Test,False,Hepatitis C Antibody,,Screening test for hepatitis C virus.,Positive HCV antibody requires RNA confirmation.,{},"{}","{lab,diagnostic,immunology,infectious}"
RPR,Lab Test,True,Rapid Plasma Reagin,,A screening test for syphilis.,Positive RPR confirmed with FTA-ABS.,{},"{}","{lab,diagnostic,immunology,infectious}"
Mono Test,Lab Test,False,Mononucleosis Test,,A rapid test for Epstein-Barr virus causing infectious mononucleosis.,Mono test positive with atypical lymphocytes.,{},"{monospot,heterophile antibody}","{lab,diagnostic,immunology,infectious}"
Strep Test,Lab Test,False,Strep Test,,A rapid antigen test for Group A Streptococcus causing strep throat.,Rapid strep test positive treat with antibiotics.,{},"{rapid strep,strep antigen}","{lab,diagnostic,microbiology,infectious}"
Flu Test,Lab Test,False,Influenza Test,,A rapid test detecting influenza A and B viruses.,Flu test positive for influenza A.,{},"{rapid flu,influenza antigen}","{lab,diagnostic,microbiology,infectious}"
COVID-19 Test,Lab Test,False,COVID-19 Test,,A test detecting SARS-CoV-2 virus causing COVID-19.,PCR COVID test is most accurate.,{},"{SARS-CoV-2 test}","{lab,diagnostic,microbiology,infectious}"
ANA,Lab Test,True,Antinuclear Antibody,,An autoimmune marker elevated in lupus and other connective tissue diseases.,Positive ANA with speckled pattern.,{},"{}","{lab,diagnostic,immunology,rheumatology}"
RF,Lab Test,True,Rheumatoid Factor,,An autoantibody elevated in rheumatoid arthritis.,Positive RF supports RA diagnosis.,{},"{}","{lab,diagnostic,immunology,rheumatology}"
Anti-CCP,Lab Test,True,Anti-Cyclic Citrullinated Peptide,,A specific antibody for rheumatoid arthritis.,Anti-CCP is more specific than RF for RA.,{},"{}","{lab,diagnostic,immunology,rheumatology}"
Complement C3,Lab Test,False,Complement C3,,A protein part of immune system low in active lupus.,Low C3 indicates lupus flare.,{},"{}","{lab,diagnostic,immunology,rheumatology}"
Complement C4,Lab Test,False,Complement C4,,A protein part of immune system low in active lupus.,Low C4 with low C3 in lupus nephritis.,{},"{}","{lab,diagnostic,immunology,rheumatology}"
