term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags,,,,,,,,,
Vital Signs,Documentation,FALSE,Vital Signs,,Basic body measurements like temperature and blood pressure.,Vital signs stable and normal.,{},{vitals},"{documentation,clinical}",,,,,,,,,
Progress Note,Documentation,FALSE,Progress Note,,A note written during follow-up visits showing how the patient is doing.,Progress note shows improvement in symptoms.,{},{},"{documentation,clinical}",,,,,,,,,
Discharge Summary,Documentation,FALSE,Discharge Summary,,A report written when a patient leaves the hospital.,Discharge summary sent to PCP.,{},{},"{documentation,clinical}",,,,,,,,,
H&P,Documentation,TRUE,History and Physical,,A complete first exam including patient history and physical check.,Complete H&P documented on admission.,{},{},"{documentation,clinical}",,,,,,,,,
Impression,Documentation,FALSE,Clinical Impression,,The doctor's conclusion about what is wrong with the patient.,Impression is acute bronchitis.,{},{},"{documentation,clinical}",,,,,,,,,
Plan of Care,Documentation,FALSE,Plan of Care,,The treatment plan and next steps for the patient.,Plan of care includes antibiotics and recheck in 3 days.,{},{treatment plan},"{documentation,clinical}",,,,,,,,,
Orders,Documentation,FALSE,Medical Orders,,Instructions written by the doctor for medicines or tests.,Orders include CBC and basic metabolic panel.,{},{},"{documentation,clinical}",,,,,,,,,
CBC,Lab Panel,TRUE,Complete Blood Count,,A blood test that measures different parts of blood including red cells white cells and platelets.,Order CBC to check for anemia.,{},{complete blood count},"{lab,diagnostic,hematology}",,,,,,,,,
WBC,Lab Test,TRUE,White Blood Cell Count,,Counts the number of white blood cells that fight infection.,High WBC suggests infection.,{},{leukocyte count},"{lab,diagnostic,hematology}",,,,,,,,,
RBC,Lab Test,TRUE,Red Blood Cell Count,,Counts the number of red blood cells that carry oxygen.,Low RBC means anemia.,{},{erythrocyte count},"{lab,diagnostic,hematology}",,,,,,,,,
Hemoglobin,Lab Test,FALSE,Hemoglobin,,A protein in red blood cells that carries oxygen through the body.,Hemoglobin is 10.2 showing anemia.,{},"{Hgb,Hb}","{lab,diagnostic,hematology}",,,,,,,,,
Hematocrit,Lab Test,FALSE,Hematocrit,,Shows what percent of blood is made of red blood cells.,Hematocrit of 32% is below normal.,{},{Hct},"{lab,diagnostic,hematology}",,,,,,,,,
Platelet Count,Lab Test,FALSE,Platelet Count,,Counts the platelets that help blood clot.,Low platelets increase bleeding risk.,{},{PLT},"{lab,diagnostic,hematology}",,,,,,,,,
MCV,Lab Test,TRUE,Mean Corpuscular Volume,,Measures the average size of red blood cells.,High MCV may mean vitamin deficiency.,{},{},"{lab,diagnostic,hematology}",,,,,,,,,
MCH,Lab Test,TRUE,Mean Corpuscular Hemoglobin,,Measures how much hemoglobin is in each red blood cell.,MCH helps find the type of anemia.,{},{},"{lab,diagnostic,hematology}",,,,,,,,,
MCHC,Lab Test,TRUE,Mean Corpuscular Hemoglobin Concentration,,Measures how concentrated hemoglobin is in red blood cells.,High MCHC seen in some blood disorders.,{},{},"{lab,diagnostic,hematology}",,,,,,,,,
RDW,Lab Test,TRUE,Red Cell Distribution Width,,Measures if red blood cells are different sizes.,High RDW shows mixed types of anemia.,{},{},"{lab,diagnostic,hematology}",,,,,,,,,
Differential,Lab Test,FALSE,Differential Count,,Breaks down the different types of white blood cells.,Differential shows high neutrophils.,{},"{diff,WBC diff}","{lab,diagnostic,hematology}",,,,,,,,,
Neutrophils,Lab Test,FALSE,Neutrophils,,White blood cells that fight bacterial infections.,High neutrophils mean bacterial infection.,{},"{polys,PMNs}","{lab,diagnostic,hematology}",,,,,,,,,
Lymphocytes,Lab Test,FALSE,Lymphocytes,,White blood cells that fight viruses and help immunity.,High lymphocytes suggest viral infection.,{},{lymphs},"{lab,diagnostic,hematology}",,,,,,,,,
Monocytes,Lab Test,FALSE,Monocytes,,White blood cells that eat germs and dead cells.,High monocytes in long-term inflammation.,{},{monos},"{lab,diagnostic,hematology}",,,,,,,,,
Eosinophils,Lab Test,FALSE,Eosinophils,,White blood cells involved in allergies and parasite infections.,High eosinophils suggest allergies or parasites.,{},{eos},"{lab,diagnostic,hematology}",,,,,,,,,
Basophils,Lab Test,FALSE,Basophils,,White blood cells involved in allergic reactions.,High basophils are rare.,{},{basos},"{lab,diagnostic,hematology}",,,,,,,,,
BMP,Lab Panel,TRUE,Basic Metabolic Panel,,A blood test checking electrolytes kidney function and blood sugar.,Order BMP to check kidney function.,{},{},"{lab,diagnostic,chemistry}",,,,,,,,,
Sodium,Lab Test,FALSE,Sodium,,A salt in blood that helps balance fluids and nerves.,Sodium level is 138 mEq/L.,{},{Na},"{lab,diagnostic,chemistry}",,,,,,,,,
Potassium,Lab Test,FALSE,Potassium,,A mineral critical for heart and muscle function.,Potassium is 4.2 mEq/L.,{},{K},"{lab,diagnostic,chemistry}",,,,,,,,,
Chloride,Lab Test,FALSE,Chloride,,A salt that helps maintain fluid balance in the body.,Chloride level is normal at 102 mEq/L.,{},{Cl},"{lab,diagnostic,chemistry}",,,,,,,,,
CO2,Lab Test,FALSE,Carbon Dioxide,,Measures bicarbonate which shows acid-base balance.,CO2 of 24 means normal balance.,{},"{bicarbonate,HCO3}","{lab,diagnostic,chemistry}",,,,,,,,,
BUN,Lab Test,TRUE,Blood Urea Nitrogen,,Measures waste filtered by kidneys to check kidney function.,High BUN suggests kidney problems.,{},{},"{lab,diagnostic,chemistry,renal}",,,,,,,,,
Creatinine,Lab Test,FALSE,Creatinine,,A waste product used to check how well kidneys work.,Creatinine of 1.8 means decreased kidney function.,{},{Cr},"{lab,diagnostic,chemistry,renal}",,,,,,,,,
Glucose,Lab Test,FALSE,Blood Glucose,,Measures the amount of sugar in the blood.,Fasting glucose is 110 mg/dL.,{},{blood sugar},"{lab,diagnostic,chemistry,diabetes}",,,,,,,,,
CMP,Lab Panel,TRUE,Comprehensive Metabolic Panel,,A bigger blood test that includes BMP plus liver and protein tests.,Order CMP for complete health check.,{},{},"{lab,diagnostic,chemistry}",,,,,,,,,
Total Protein,Lab Test,FALSE,Total Protein,,Measures all proteins in blood to check nutrition and liver health.,Total protein helps check liver function.,{},{},"{lab,diagnostic,chemistry}",,,,,,,,,
Albumin,Lab Test,FALSE,Albumin,,A protein made by the liver that keeps fluid balanced.,Low albumin means malnutrition or liver disease.,{},{},"{lab,diagnostic,chemistry}",,,,,,,,,
AST,Lab Test,TRUE,Aspartate Aminotransferase,,A liver enzyme that goes up when the liver is damaged.,AST of 85 suggests liver inflammation.,{},{SGOT},"{lab,diagnostic,chemistry,hepatic}",,,,,,,,,
ALT,Lab Test,TRUE,Alanine Aminotransferase,,A liver enzyme that is very specific for liver damage.,High ALT means liver injury.,{},{SGPT},"{lab,diagnostic,chemistry,hepatic}",,,,,,,,,
ALP,Lab Test,TRUE,Alkaline Phosphatase,,An enzyme in liver and bones that goes up with certain diseases.,High ALP suggests blocked bile ducts.,{},{},"{lab,diagnostic,chemistry,hepatic}",,,,,,,,,
Total Bilirubin,Lab Test,FALSE,Total Bilirubin,,A yellow substance from broken down red blood cells.,High bilirubin causes jaundice.,{},{},"{lab,diagnostic,chemistry,hepatic}",,,,,,,,,
Direct Bilirubin,Lab Test,FALSE,Direct Bilirubin,,Bilirubin that has been processed by the liver.,High direct bilirubin in blocked bile ducts.,{},{},"{lab,diagnostic,chemistry,hepatic}",,,,,,,,,
Indirect Bilirubin,Lab Test,FALSE,Indirect Bilirubin,,Bilirubin that has not been processed by the liver yet.,High indirect bilirubin in blood cell breakdown.,{},{},"{lab,diagnostic,chemistry,hepatic}",,,,,,,,,
Calcium,Lab Test,FALSE,Calcium,,A mineral important for bones nerves and muscles.,Calcium level is 9.5 mg/dL.,{},{Ca},"{lab,diagnostic,chemistry}",,,,,,,,,
Lipid Panel,Lab Panel,FALSE,Lipid Panel,,A blood test checking cholesterol and fats to assess heart risk.,Fasting lipid panel shows high LDL.,{},{cholesterol panel},"{lab,diagnostic,chemistry,cardiology}",,,,,,,,,
Total Cholesterol,Lab Test,FALSE,Total Cholesterol,,Measures all cholesterol in blood including good and bad types.,Total cholesterol is 220 mg/dL.,{},{},"{lab,diagnostic,chemistry,cardiology}",,,,,,,,,
HDL,Lab Test,TRUE,High-Density Lipoprotein,,Good cholesterol that helps remove bad cholesterol from blood.,HDL of 55 mg/dL is protective.,{},{good cholesterol},"{lab,diagnostic,chemistry,cardiology}",,,,,,,,,
LDL,Lab Test,TRUE,Low-Density Lipoprotein,,Bad cholesterol that can clog arteries and cause heart disease.,LDL of 150 mg/dL is above goal.,{},{bad cholesterol},"{lab,diagnostic,chemistry,cardiology}",,,,,,,,,
Triglycerides,Lab Test,FALSE,Triglycerides,,A type of fat in blood that increases heart disease risk when high.,Triglycerides are 180 mg/dL.,{},{TG},"{lab,diagnostic,chemistry,cardiology}",,,,,,,,,
VLDL,Lab Test,TRUE,Very Low-Density Lipoprotein,,A type of cholesterol that carries triglycerides in blood.,VLDL is calculated from triglycerides.,{},{},"{lab,diagnostic,chemistry,cardiology}",,,,,,,,,
HbA1c,Lab Test,TRUE,Hemoglobin A1c,,Shows average blood sugar over the past 2-3 months for diabetes.,HbA1c of 7.2% means diabetes not well controlled.,{},"{glycated hemoglobin,A1c}","{lab,diagnostic,chemistry,diabetes}",,,,,,,,,
Thyroid Panel,Lab Panel,FALSE,Thyroid Panel,,Tests that check how well the thyroid gland is working.,Thyroid panel ordered to check for low thyroid.,{},{},"{lab,diagnostic,chemistry,endocrine}",,,,,,,,,
TSH,Lab Test,TRUE,Thyroid-Stimulating Hormone,,A hormone that controls the thyroid gland.,High TSH means low thyroid function.,{},{thyrotropin},"{lab,diagnostic,chemistry,endocrine}",,,,,,,,,
T3,Lab Test,TRUE,Triiodothyronine,,Active thyroid hormone that controls metabolism.,Free T3 helps check thyroid function.,{},{},"{lab,diagnostic,chemistry,endocrine}",,,,,,,,,
T4,Lab Test,TRUE,Thyroxine,,Main hormone made by the thyroid gland.,Free T4 measures available hormone.,{},{},"{lab,diagnostic,chemistry,endocrine}",,,,,,,,,
Free T3,Lab Test,FALSE,Free Triiodothyronine,,Active thyroid hormone not bound to proteins.,Free T3 is low in low thyroid.,{},{},"{lab,diagnostic,chemistry,endocrine}",,,,,,,,,
