term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Tracheostomy,Procedure,FALSE,Tracheostomy,,Creating an opening in the neck into the windpipe.,Tracheostomy for prolonged ventilation.,{},{trach},"{procedure,surgery,pulmonary}"
Intubation,Procedure,FALSE,Endotracheal Intubation,,Inserting a breathing tube through the mouth into the windpipe.,Intubation for surgery or respiratory failure.,{},{},"{procedure,pulmonary,critical-care}"
Mechanical Ventilation,Procedure,FALSE,Mechanical Ventilation,,Using a machine to help or replace breathing.,Patient on ventilator in ICU.,{},"{ventilator,life support}","{procedure,pulmonary,critical-care}"
CPAP,Procedure,TRUE,Continuous Positive Airway Pressure,,A machine keeping airways open during sleep.,CPAP for sleep apnea.,{},{},"{procedure,pulmonary}"
BiPAP,Procedure,TRUE,Bilevel Positive Airway Pressure,,A machine providing two levels of air pressure for breathing.,BiPAP for respiratory distress.,{},{},"{procedure,pulmonary}"
Spirometry,Procedure,FALSE,Spirometry,,A breathing test measuring lung function.,Spirometry shows obstructive pattern.,{},{},"{procedure,diagnostic,pulmonary}"
PFT,Procedure,TRUE,Pulmonary Function Test,,Tests measuring how well the lungs work.,PFT ordered for COPD evaluation.,{},{lung function test},"{procedure,diagnostic,pulmonary}"
Peak Flow,Procedure,FALSE,Peak Flow Measurement,,A test measuring how fast air comes out of lungs.,Peak flow monitoring for asthma.,{},{},"{procedure,diagnostic,pulmonary}"
Arterial Blood Gas,Procedure,FALSE,Arterial Blood Gas,,A blood test checking oxygen and carbon dioxide levels.,ABG shows respiratory acidosis.,{},{ABG},"{procedure,diagnostic,pulmonary}"
Chest Tube,Procedure,FALSE,Chest Tube Insertion,,Placing a tube in the chest to drain air or fluid.,Chest tube for pneumothorax.,{},{thoracostomy tube},"{procedure,pulmonary}"
Lumbar Puncture,Procedure,FALSE,Lumbar Puncture,,Using a needle to collect spinal fluid.,Lumbar puncture to rule out meningitis.,{},"{spinal tap,LP}","{procedure,diagnostic,neurological}"
EEG,Procedure,TRUE,Electroencephalogram,,A test recording electrical activity in the brain.,EEG to diagnose seizures.,{},{},"{procedure,diagnostic,neurological}"
EMG,Procedure,TRUE,Electromyography,,A test checking muscle and nerve function.,EMG shows nerve compression.,{},{},"{procedure,diagnostic,neurological}"
Nerve Conduction Study,Procedure,FALSE,Nerve Conduction Study,,A test measuring how fast nerves send signals.,NCS confirms carpal tunnel syndrome.,{},{NCS},"{procedure,diagnostic,neurological}"
Craniotomy,Procedure,FALSE,Craniotomy,,Surgery opening the skull to access the brain.,Craniotomy to remove brain tumor.,{},{},"{procedure,surgery,neurological}"
Brain Biopsy,Procedure,FALSE,Brain Biopsy,,Removing a small piece of brain tissue for testing.,Stereotactic brain biopsy.,{},{},"{procedure,diagnostic,neurological}"
VP Shunt,Procedure,TRUE,Ventriculoperitoneal Shunt,,A tube draining excess fluid from the brain to the abdomen.,VP shunt for hydrocephalus.,{},{},"{procedure,neurological}"
Laminectomy,Procedure,FALSE,Laminectomy,,Surgery removing part of vertebra to relieve nerve pressure.,Laminectomy for herniated disc.,{},{decompression surgery},"{procedure,surgery,orthopedic}"
Spinal Fusion,Procedure,FALSE,Spinal Fusion,,Surgery joining two or more vertebrae together.,Spinal fusion for severe scoliosis.,{},{},"{procedure,surgery,orthopedic}"
Discectomy,Procedure,FALSE,Discectomy,,Surgery removing a herniated disc.,Microdiscectomy for sciatica.,{},{},"{procedure,surgery,orthopedic}"
Joint Replacement,Procedure,FALSE,Joint Replacement,,Surgery replacing a damaged joint with artificial one.,Total knee replacement for osteoarthritis.,{},{arthroplasty},"{procedure,surgery,orthopedic}"
Hip Replacement,Procedure,FALSE,Hip Replacement,,Surgery replacing hip joint.,Total hip arthroplasty for severe arthritis.,{},"{total hip arthroplasty,THA}","{procedure,surgery,orthopedic}"
Knee Replacement,Procedure,FALSE,Knee Replacement,,Surgery replacing knee joint.,Total knee arthroplasty bilateral.,{},"{total knee arthroplasty,TKA}","{procedure,surgery,orthopedic}"
Shoulder Replacement,Procedure,FALSE,Shoulder Replacement,,Surgery replacing shoulder joint.,Reverse shoulder arthroplasty.,{},{},"{procedure,surgery,orthopedic}"
Arthroscopy,Procedure,FALSE,Arthroscopy,,Surgery using a small camera to look inside and repair a joint.,Knee arthroscopy for torn meniscus.,{},{},"{procedure,surgery,orthopedic}"
ACL Reconstruction,Procedure,FALSE,ACL Reconstruction,,Surgery to repair torn knee ligament.,ACL reconstruction using patellar tendon graft.,{},{},"{procedure,surgery,orthopedic}"
Rotator Cuff Repair,Procedure,FALSE,Rotator Cuff Repair,,Surgery to fix torn shoulder tendons.,Arthroscopic rotator cuff repair.,{},{},"{procedure,surgery,orthopedic}"
Fracture Reduction,Procedure,FALSE,Fracture Reduction,,Setting a broken bone back in place.,Closed reduction of wrist fracture.,{},{},"{procedure,orthopedic}"
ORIF,Procedure,TRUE,Open Reduction Internal Fixation,,Surgery using plates and screws to fix broken bones.,ORIF of ankle fracture.,{},{},"{procedure,surgery,orthopedic}"
Cast Application,Procedure,FALSE,Cast Application,,Applying a hard shell to immobilize a body part.,Short arm cast for wrist fracture.,{},{},"{procedure,orthopedic}"
Splint Application,Procedure,FALSE,Splint Application,,Applying a removable support to immobilize a body part.,Thumb spica splint for scaphoid fracture.,{},{},"{procedure,orthopedic}"
Joint Aspiration,Procedure,FALSE,Joint Aspiration,,Removing fluid from a joint with a needle.,Knee aspiration for joint effusion.,{},{arthrocentesis},"{procedure,diagnostic,orthopedic}"
Joint Injection,Procedure,FALSE,Joint Injection,,Injecting medication into a joint.,Cortisone injection for knee arthritis.,{},{intra-articular injection},"{procedure,orthopedic}"
Trigger Point Injection,Procedure,FALSE,Trigger Point Injection,,Injecting medication into tight muscle knots.,Trigger point injection for back pain.,{},{},"{procedure,pain-management}"
Epidural Steroid Injection,Procedure,FALSE,Epidural Steroid Injection,,Injecting steroid medicine around spinal nerves.,Epidural injection for radiculopathy.,{},{ESI},"{procedure,pain-management}"
Nerve Block,Procedure,FALSE,Nerve Block,,Injecting medication to block pain signals in nerves.,Intercostal nerve block for rib pain.,{},{},"{procedure,pain-management}"
Dialysis,Procedure,FALSE,Dialysis,,A procedure filtering blood when kidneys don't work.,Patient on dialysis three times weekly.,{},{hemodialysis},"{procedure,renal}"
Hemodialysis,Procedure,FALSE,Hemodialysis,,Filtering blood through a machine outside the body.,Hemodialysis via AV fistula.,{},{HD},"{procedure,renal}"
Peritoneal Dialysis,Procedure,FALSE,Peritoneal Dialysis,,Filtering blood using the abdomen lining.,Home peritoneal dialysis.,{},{PD},"{procedure,renal}"
Kidney Transplant,Procedure,FALSE,Kidney Transplant,,Surgery replacing a failed kidney with a healthy donor kidney.,Living donor kidney transplant.,{},{renal transplant},"{procedure,surgery,renal}"
Nephrectomy,Procedure,FALSE,Nephrectomy,,Surgery to remove a kidney.,Partial nephrectomy for kidney tumor.,{},{},"{procedure,surgery,renal}"
Lithotripsy,Procedure,FALSE,Lithotripsy,,Using shock waves to break up kidney stones.,ESWL for renal calculus.,{},"{ESWL,shock wave lithotripsy}","{procedure,urology}"
Cystoscopy,Procedure,FALSE,Cystoscopy,,A test using a camera to look inside the bladder.,Cystoscopy to check for bladder cancer.,{},{},"{procedure,diagnostic,urology}"
TURP,Procedure,TRUE,Transurethral Resection of Prostate,,Surgery removing part of enlarged prostate.,TURP for BPH.,{},{},"{procedure,surgery,urology}"
Vasectomy,Procedure,FALSE,Vasectomy,,A permanent birth control surgery for men cutting tubes that carry sperm.,Vasectomy for family planning.,{},{},"{procedure,surgery,urology}"
Circumcision,Procedure,FALSE,Circumcision,,Surgery removing foreskin from penis.,Newborn circumcision.,{},{},"{procedure,surgery,urology}"
Urodynamics,Procedure,FALSE,Urodynamic Testing,,Tests measuring bladder and urethra function.,Urodynamics for incontinence evaluation.,{},{},"{procedure,diagnostic,urology}"
Prostate Biopsy,Procedure,FALSE,Prostate Biopsy,,Removing small pieces of prostate tissue for testing.,Transrectal prostate biopsy for elevated PSA.,{},{},"{procedure,diagnostic,urology}"
Hysterectomy,Procedure,FALSE,Hysterectomy,,Surgery to remove the uterus.,Total hysterectomy for fibroids.,{},{},"{procedure,surgery,gynecology}"
D&C,Procedure,TRUE,Dilation and Curettage,,A procedure scraping the uterus lining.,D&C for abnormal bleeding.,{},{},"{procedure,gynecology}"
Colposcopy,Procedure,FALSE,Colposcopy,,A test using a magnifying device to examine the cervix.,Colposcopy after abnormal Pap smear.,{},{},"{procedure,diagnostic,gynecology}"
LEEP,Procedure,TRUE,Loop Electrosurgical Excision Procedure,,Removing abnormal cervical tissue with an electric wire loop.,LEEP for cervical dysplasia.,{},{},"{procedure,gynecology}"
Hysteroscopy,Procedure,FALSE,Hysteroscopy,,A test using a camera to look inside the uterus.,Hysteroscopy to check for polyps.,{},{},"{procedure,diagnostic,gynecology}"
Laparoscopy,Procedure,FALSE,Laparoscopy,,Surgery through small incisions using a camera.,Diagnostic laparoscopy for pelvic pain.,{},{minimally invasive surgery},"{procedure,surgery}"
Tubal Ligation,Procedure,FALSE,Tubal Ligation,,A permanent birth control surgery for women tying or cutting fallopian tubes.,Postpartum tubal ligation.,{},{tubes tied},"{procedure,surgery,gynecology}"
C-section,Procedure,FALSE,Cesarean Section,,Surgery to deliver a baby through the abdomen.,Repeat C-section at 39 weeks.,{},{cesarean delivery},"{procedure,surgery,gynecology,obstetrics}"
Amniocentesis,Procedure,FALSE,Amniocentesis,,Removing amniotic fluid with a needle to test the baby.,Amniocentesis for genetic testing.,{},{amnio},"{procedure,diagnostic,obstetrics}"
IVF,Procedure,TRUE,In Vitro Fertilization,,A fertility treatment fertilizing eggs outside the body.,IVF cycle with embryo transfer.,{},{},"{procedure,gynecology,fertility}"
IUI,Procedure,TRUE,Intrauterine Insemination,,A fertility treatment placing sperm directly in the uterus.,IUI with ovulation induction.,{},{},"{procedure,gynecology,fertility}"
Mammogram,Procedure,FALSE,Mammogram,,An X-ray of the breast to screen for cancer.,Annual screening mammogram.,{},{mammography},"{procedure,diagnostic,oncology}"
Breast Biopsy,Procedure,FALSE,Breast Biopsy,,Removing breast tissue to check for cancer.,Ultrasound-guided breast biopsy.,{},{},"{procedure,diagnostic,oncology}"
Lumpectomy,Procedure,FALSE,Lumpectomy,,Surgery removing a breast tumor and small amount of surrounding tissue.,Lumpectomy with sentinel node biopsy.,{},{breast-conserving surgery},"{procedure,surgery,oncology}"
Mastectomy,Procedure,FALSE,Mastectomy,,Surgery removing all or part of the breast.,Total mastectomy for breast cancer.,{},{},"{procedure,surgery,oncology}"
Sentinel Node Biopsy,Procedure,FALSE,Sentinel Lymph Node Biopsy,,Removing the first lymph nodes to check if cancer has spread.,Sentinel node biopsy negative.,{},{},"{procedure,diagnostic,oncology}"
Lymph Node Dissection,Procedure,FALSE,Lymph Node Dissection,,Surgery removing lymph nodes to check for cancer spread.,Axillary lymph node dissection.,{},{},"{procedure,surgery,oncology}"
Bone Marrow Biopsy,Procedure,FALSE,Bone Marrow Biopsy,,Removing bone marrow to check for blood disorders or cancer.,Bone marrow biopsy for anemia workup.,{},{},"{procedure,diagnostic,hematology}"
Bone Marrow Transplant,Procedure,FALSE,Bone Marrow Transplant,,Replacing diseased bone marrow with healthy stem cells.,Allogeneic bone marrow transplant for leukemia.,{},{stem cell transplant},"{procedure,hematology,oncology}"
Blood Transfusion,Procedure,FALSE,Blood Transfusion,,Giving blood or blood products through an IV.,Two units PRBC transfusion.,{},{},"{procedure,hematology}"
Chemotherapy,Procedure,FALSE,Chemotherapy,,Using drugs to kill cancer cells.,Starting first cycle of chemotherapy.,{},{chemo},"{procedure,oncology}"
Radiation Therapy,Procedure,FALSE,Radiation Therapy,,Using high-energy rays to kill cancer cells.,External beam radiation for prostate cancer.,{},"{radiotherapy,XRT}","{procedure,oncology}"
Immunotherapy,Procedure,FALSE,Immunotherapy,,Using the immune system to fight cancer.,Immunotherapy for melanoma.,{},{},"{procedure,oncology}"
Targeted Therapy,Procedure,FALSE,Targeted Therapy,,Using drugs that target specific cancer cell features.,Targeted therapy for HER2-positive breast cancer.,{},{},"{procedure,oncology}"
PET Scan,Procedure,TRUE,Positron Emission Tomography,,A scan showing how tissues and organs function.,PET scan for cancer staging.,{},{},"{procedure,diagnostic,imaging}"
CT Scan,Procedure,TRUE,Computed Tomography,,A detailed X-ray scan creating cross-sectional images.,CT chest abdomen and pelvis.,{},{CAT scan},"{procedure,diagnostic,imaging}"
MRI,Procedure,TRUE,Magnetic Resonance Imaging,,A scan using magnets and radio waves to create detailed images.,MRI brain with and without contrast.,{},{},"{procedure,diagnostic,imaging}"
X-ray,Procedure,FALSE,X-ray,,A test using radiation to create images of bones and organs.,Chest X-ray shows pneumonia.,{},{radiograph},"{procedure,diagnostic,imaging}"
Ultrasound,Procedure,FALSE,Ultrasound,,A test using sound waves to create images.,Abdominal ultrasound for gallstones.,{},"{sonogram,US}","{procedure,diagnostic,imaging}"
DEXA Scan,Procedure,TRUE,Dual-Energy X-ray Absorptiometry,,A scan measuring bone density.,DEXA scan shows osteoporosis.,{},{bone density scan},"{procedure,diagnostic,imaging}"
Fluoroscopy,Procedure,FALSE,Fluoroscopy,,Real-time moving X-ray images.,Fluoroscopy-guided injection.,{},{},"{procedure,diagnostic,imaging}"
Barium Swallow,Procedure,FALSE,Barium Swallow,,X-rays of the throat and esophagus after drinking contrast.,Barium swallow shows stricture.,{},{esophagram},"{procedure,diagnostic,imaging,gastrointestinal}"
Upper GI Series,Procedure,FALSE,Upper GI Series,,X-rays of esophagus stomach and small intestine with contrast.,Upper GI shows ulcer.,{},{},"{procedure,diagnostic,imaging,gastrointestinal}"
Barium Enema,Procedure,FALSE,Barium Enema,,X-rays of the colon after contrast inserted through rectum.,Barium enema to check for polyps.,{},{},"{procedure,diagnostic,imaging,gastrointestinal}"
Myelogram,Procedure,FALSE,Myelogram,,X-rays of the spine after injecting contrast into spinal fluid.,Myelogram for herniated disc.,{},{},"{procedure,diagnostic,imaging,neurological}"
Venogram,Procedure,FALSE,Venogram,,X-rays of veins after injecting contrast dye.,Venogram to check for DVT.,{},{},"{procedure,diagnostic,imaging,vascular}"
IVP,Procedure,TRUE,Intravenous Pyelogram,,X-rays of kidneys and urinary tract after IV contrast.,IVP shows kidney stones.,{},{},"{procedure,diagnostic,imaging,urology}"
Nuclear Medicine Scan,Procedure,FALSE,Nuclear Medicine Scan,,A scan using radioactive material to see organ function.,Thyroid scan with radioactive iodine.,{},{},"{procedure,diagnostic,imaging}"
Bone Scan,Procedure,FALSE,Bone Scan,,A nuclear medicine scan looking for bone problems.,Bone scan to check for metastases.,{},{},"{procedure,diagnostic,imaging,orthopedic}"
VQ Scan,Procedure,TRUE,Ventilation-Perfusion Scan,,A lung scan checking airflow and blood flow.,VQ scan to rule out pulmonary embolism.,{},{},"{procedure,diagnostic,imaging,pulmonary}"
HIDA Scan,Procedure,TRUE,Hepatobiliary Iminodiacetic Acid Scan,,A scan checking gallbladder and bile duct function.,HIDA scan shows cholecystitis.,{},{},"{procedure,diagnostic,imaging,gastrointestinal}"
Cardiac PET,Procedure,FALSE,Cardiac PET Scan,,A heart scan showing blood flow to heart muscle.,Cardiac PET shows ischemia.,{},{},"{procedure,diagnostic,imaging,cardiovascular}"
EKG,Procedure,TRUE,Electrocardiogram,,A test recording the heart's electrical activity.,EKG shows ST elevation.,{},{ECG},"{procedure,diagnostic,cardiovascular}"
Treadmill Stress Test,Procedure,FALSE,Treadmill Stress Test,,Testing heart function while walking on a treadmill.,Positive stress test for ischemia.,{},{exercise stress test},"{procedure,diagnostic,cardiovascular}"
Nuclear Stress Test,Procedure,FALSE,Nuclear Stress Test,,Heart imaging with radioactive tracer during stress.,Pharmacologic nuclear stress test.,{},{},"{procedure,diagnostic,cardiovascular}"
TEE,Procedure,TRUE,Transesophageal Echocardiogram,,Ultrasound of the heart through the esophagus.,TEE to check for blood clot in heart.,{},{},"{procedure,diagnostic,cardiovascular}"
