term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
PET,Workflow,TRUE,Positron Emission Tomography,,Nuclear imaging showing metabolic activity used for cancer and neurological conditions.,PET scan indicates metabolically active lesions.,,,"imaging;diagnostic;radiology;oncology"
EKG,Workflow,TRUE,Electrocardiogram,,Test recording electrical activity of the heart.,EKG shows normal sinus rhythm.,,ECG,"cardiac;diagnostic;clinical"
ECG,Workflow,TRUE,Electrocardiogram,,Test recording electrical activity of the heart.,12-lead ECG obtained for chest pain.,,EKG,"cardiac;diagnostic;clinical"
Echo,Workflow,TRUE,Echocardiogram,,Ultrasound of the heart to assess structure and function.,Echo reveals reduced ejection fraction.,,,"cardiac;diagnostic;imaging"
SOB,Workflow,TRUE,Shortness of Breath,,Difficulty breathing or feeling unable to get enough air.,Patient presents with SOB and chest pain.,,Dyspnea,"symptom;respiratory;clinical"
CP,Workflow,TRUE,Chest Pain,,Discomfort or pain in the chest area.,Patient c/o severe CP radiating to left arm.,,,"symptom;cardiac;clinical"
N/V,Workflow,TRUE,Nausea and Vomiting,,Feeling of sickness with urge to vomit and actual expulsion of stomach contents.,Patient experiencing N/V after chemotherapy.,,,"symptom;gastrointestinal;clinical"
A&O,Workflow,TRUE,Alert and Oriented,,Assessment of consciousness and awareness to person place time and situation.,Patient A&O x4 with no deficits.,,,"assessment;neuro;clinical"
LOC,Workflow,TRUE,Level of Consciousness,,Degree of awareness and responsiveness.,Decreased LOC noted after sedation.,,,"assessment;neuro;clinical"
WNL,Workflow,TRUE,Within Normal Limits,,Indicating test results or findings are in the normal range.,Physical exam findings are WNL.,,,"assessment;clinical;documentation"
NAD,Workflow,TRUE,No Acute Distress,,Patient appears comfortable without signs of immediate medical crisis.,Patient in NAD resting comfortably in bed.,,,"assessment;clinical;documentation"
c/o,Documentation,TRUE,Complains Of,,Notation indicating patient-reported symptoms or concerns.,Patient c/o headache for 3 days.,,,"documentation;clinical;symptom"
NG,Workflow,TRUE,Nasogastric,,Tube inserted through nose into stomach for feeding or drainage.,NG tube placed for gastric decompression.,,,"equipment;clinical;nursing"
Foley,Workflow,FALSE,,,Indwelling urinary catheter inserted through urethra into bladder.,Foley catheter inserted for strict output monitoring.,,,"equipment;clinical;nursing"
PICC,Workflow,TRUE,Peripherally Inserted Central Catheter,,IV catheter inserted in arm vein and threaded to central vein near heart.,PICC line placed for long-term antibiotics.,,,"equipment;clinical;nursing;vascular-access"
CVC,Workflow,TRUE,Central Venous Catheter,,Large IV catheter inserted into major vein for medications fluids and monitoring.,CVC placed in internal jugular for pressors.,,,"equipment;clinical;critical-care;vascular-access"
A-line,Workflow,TRUE,Arterial Line,,Catheter inserted into artery for continuous blood pressure monitoring and blood sampling.,A-line placed for hemodynamic monitoring.,,,"equipment;clinical;critical-care"
ETT,Workflow,TRUE,Endotracheal Tube,,Tube inserted through mouth or nose into trachea to maintain airway and provide ventilation.,Patient intubated with 7.5 ETT at 22cm.,,,"equipment;respiratory;critical-care;airway"
LMA,Workflow,TRUE,Laryngeal Mask Airway,,Supraglottic airway device used as alternative to intubation.,LMA inserted for short procedure.,,,"equipment;respiratory;anesthesia;airway"
BiPAP,Workflow,TRUE,Bilevel Positive Airway Pressure,,Non-invasive ventilation providing two levels of air pressure.,Patient on BiPAP overnight for sleep apnea.,,,"equipment;respiratory;clinical"
CPAP,Workflow,TRUE,Continuous Positive Airway Pressure,,Non-invasive ventilation providing constant air pressure to keep airways open.,CPAP compliance improves sleep quality.,,,"equipment;respiratory;clinical"
PCA,Workflow,TRUE,Patient-Controlled Analgesia,,Pain management system allowing patient to self-administer preset doses of pain medication.,PCA pump set with morphine for post-op pain.,,,"equipment;pain;nursing"
ROM,Workflow,TRUE,Range of Motion,,Extent of movement possible at a joint.,Physical therapy working on shoulder ROM.,,,"assessment;physical-therapy;orthopedic"
ADL,Workflow,TRUE,Activities of Daily Living,,Basic self-care tasks including bathing dressing eating and toileting.,Patient independent with all ADLs.,,,"assessment;nursing;rehabilitation"
NKDA,Workflow,TRUE,No Known Drug Allergies,,Patient has no documented allergies to medications.,Allergy status: NKDA.,,,"assessment;clinical;safety"
NKA,Workflow,TRUE,No Known Allergies,,Patient has no documented allergies to any substances.,Documentation shows NKA.,,,"assessment;clinical;safety"
ASA,Medication,TRUE,Aspirin,,Common antiplatelet medication used for pain fever inflammation and cardiovascular protection.,Patient takes daily ASA 81mg for cardiac prophylaxis.,,,"medication;cardiac;antiplatelet"
ACE,Medication,TRUE,Angiotensin-Converting Enzyme,,Class of medications (ACE inhibitors) used to treat hypertension and heart failure.,Started on ACE inhibitor for blood pressure control.,,,"medication;cardiac;antihypertensive"
PCN,Medication,TRUE,Penicillin,,Class of antibiotics used to treat bacterial infections.,Patient allergic to PCN - documented in chart.,,,"medication;antibiotic;allergy"
QOD,Medication,TRUE,Every Other Day,,Medication frequency indicating dosing every other day.,Medication taken QOD for maintenance therapy.,,,"medication;dosing;frequency"
QW,Medication,TRUE,Once Weekly,,Medication frequency indicating dosing once per week.,Injectable medication administered QW.,,,"medication;dosing;frequency"
QM,Medication,TRUE,Once Monthly,,Medication frequency indicating dosing once per month.,Long-acting injection given QM.,,,"medication;dosing;frequency"
HS,Medication,TRUE,Hour of Sleep,,Medication timing at bedtime.,Sleep aid taken HS as needed.,,,"medication;dosing;timing"
AM,Medication,TRUE,Morning,,Medication timing in the morning hours.,Thyroid medication taken AM on empty stomach.,,,"medication;dosing;timing"
PM,Medication,TRUE,Evening,,Medication timing in the evening hours.,Statin taken PM to maximize effectiveness.,,,"medication;dosing;timing"
mg,Medication,TRUE,Milligram,,Unit of medication measurement equal to one-thousandth of a gram.,Prescribed 500mg twice daily.,,,"medication;dosing;measurement"
mcg,Medication,TRUE,Microgram,,Unit of medication measurement equal to one-millionth of a gram.,Levothyroxine 50mcg daily.,,,"medication;dosing;measurement"
mL,Medication,TRUE,Milliliter,,Unit of liquid volume equal to one-thousandth of a liter.,Administer 10mL of suspension.,,,"medication;dosing;measurement"
gtt,Medication,TRUE,Drops,,Unit of liquid medication measurement.,Instill 2 gtt in each eye.,,,"medication;dosing;measurement;ophthalmology"
tab,Medication,TRUE,Tablet,,Solid oral medication form.,Take 1 tab with food.,,,"medication;form"
cap,Medication,TRUE,Capsule,,Medication enclosed in gelatin shell.,Take 2 cap every morning.,,,"medication;form"
DOE,Workflow,TRUE,Dyspnea on Exertion,,Shortness of breath that occurs with physical activity.,Patient reports DOE with climbing stairs.,,,"symptom;respiratory;cardiac;clinical"
PND,Workflow,TRUE,Paroxysmal Nocturnal Dyspnea,,Sudden shortness of breath at night that awakens patient.,PND suggests worsening heart failure.,,,"symptom;cardiac;respiratory;clinical"
JVD,Workflow,TRUE,Jugular Venous Distension,,Visible bulging of neck veins indicating elevated central venous pressure.,JVD noted on physical exam.,,,"assessment;cardiac;clinical"
CVP,Workflow,TRUE,Central Venous Pressure,,Pressure in central veins measured via CVC reflecting fluid status.,CVP elevated at 14 mmHg.,,,"assessment;cardiac;critical-care"
MAP,Workflow,TRUE,Mean Arterial Pressure,,Average blood pressure during one cardiac cycle.,MAP maintained above 65 for adequate perfusion.,,,"assessment;cardiac;critical-care"
PERRLA,Workflow,TRUE,Pupils Equal Round Reactive to Light and Accommodation,,Standard eye examination notation indicating normal pupil function.,Neuro exam: PERRLA bilaterally.,,,"assessment;neuro;clinical"
GCS,Workflow,TRUE,Glasgow Coma Scale,,Standardized assessment of consciousness based on eye verbal and motor responses.,GCS score of 15 indicates full consciousness.,,,"assessment;neuro;clinical;trauma"
NIHSS,Workflow,TRUE,National Institutes of Health Stroke Scale,,Standardized assessment tool to measure stroke severity.,NIHSS of 8 indicates moderate stroke.,,,"assessment;neuro;clinical;stroke"
PRN,Medication,TRUE,As Needed,,Medication taken only when necessary rather than on a schedule.,Pain medication available PRN.,,,"medication;dosing;frequency"
Code Blue,Workflow,FALSE,,,Emergency response to cardiac or respiratory arrest.,Called Code Blue for unresponsive patient.,,,"emergency;clinical;critical-care"
Rapid Response,Workflow,FALSE,,,Team activated for patients showing concerning decline before full arrest.,Called Rapid Response for change in mental status.,,,"emergency;clinical;safety"
ORIF,Specialty,TRUE,Open Reduction Internal Fixation,,Surgical procedure to repair fractured bones using hardware.,Patient scheduled for ORIF of left femur.,,,"surgery;orthopedic;procedure"
THR,Specialty,TRUE,Total Hip Replacement,,Surgical procedure replacing damaged hip joint with prosthetic.,Post-op day 1 from THR.,,THA,"surgery;orthopedic;procedure"
TKR,Specialty,TRUE,Total Knee Replacement,,Surgical procedure replacing damaged knee joint with prosthetic.,Preparing patient for TKR surgery.,,TKA,"surgery;orthopedic;procedure"
CABG,Specialty,TRUE,Coronary Artery Bypass Graft,,Open heart surgery creating new routes around blocked coronary arteries.,Patient stable post CABG x3 vessels.,,,"surgery;cardiac;procedure"
PCI,Specialty,TRUE,Percutaneous Coronary Intervention,,Minimally invasive procedure to open blocked coronary arteries using catheter and stent.,PCI performed with drug-eluting stent placement.,,,"procedure;cardiac;interventional"
ERCP,Specialty,TRUE,Endoscopic Retrograde Cholangiopancreatography,,Procedure using endoscope to diagnose and treat bile duct and pancreatic conditions.,ERCP scheduled for suspected choledocholithiasis.,,,"procedure;gastroenterology;diagnostic"
EGD,Specialty,TRUE,Esophagogastroduodenoscopy,,Endoscopic examination of esophagus stomach and first part of small intestine.,EGD shows gastric ulcer.,,,"procedure;gastroenterology;diagnostic"
Colonoscopy,Specialty,FALSE,,,Endoscopic examination of the entire colon and rectum.,Screening colonoscopy at age 50.,,,"procedure;gastroenterology;diagnostic"
Bronchoscopy,Specialty,FALSE,,,Procedure using scope to visualize airways and obtain tissue samples.,Bronchoscopy with biopsy for pulmonary nodule.,,,"procedure;pulmonology;diagnostic"
LP,Specialty,TRUE,Lumbar Puncture,,Procedure inserting needle into spinal canal to collect cerebrospinal fluid.,LP performed to rule out meningitis.,,Spinal Tap,"procedure;neuro;diagnostic"
Thoracentesis,Specialty,FALSE,,,Procedure removing fluid from pleural space around lungs.,Thoracentesis drained 1500mL pleural effusion.,,,"procedure;pulmonology;therapeutic"
Paracentesis,Specialty,FALSE,,,Procedure removing fluid from peritoneal cavity in abdomen.,Paracentesis performed for tense ascites.,,,"procedure;gastroenterology;therapeutic"
CVA,Condition,TRUE,Cerebrovascular Accident,,Medical term for stroke caused by interruption of blood flow to brain.,Patient admitted with acute CVA.,,Stroke,"condition;neuro;cardiovascular"
TIA,Condition,TRUE,Transient Ischemic Attack,,Temporary blockage of blood flow to brain with symptoms resolving within 24 hours.,TIA resolved within 2 hours.,,Mini-stroke,"condition;neuro;cardiovascular"
GERD,Condition,TRUE,Gastroesophageal Reflux Disease,,Chronic condition where stomach acid flows back into esophagus.,GERD managed with PPI therapy.,,,"condition;gastroenterology"
PUD,Condition,TRUE,Peptic Ulcer Disease,,Sores in stomach or duodenal lining.,H. pylori testing for PUD.,,,"condition;gastroenterology"
CRF,Condition,TRUE,Chronic Renal Failure,,Progressive loss of kidney function over time.,CRF patient on hemodialysis.,,CKD,"condition;nephrology"
ARF,Condition,TRUE,Acute Renal Failure,,Sudden loss of kidney function.,ARF secondary to sepsis.,,AKI,"condition;nephrology"
PE,Condition,TRUE,Pulmonary Embolism,,Blood clot in pulmonary artery blocking blood flow to lungs.,CT angiogram confirms PE.,,,"condition;pulmonology;cardiovascular;emergency"
Sepsis,Condition,FALSE,,,Life-threatening response to infection causing organ dysfunction.,Patient in septic shock requiring pressors.,,,"condition;infectious-disease;critical-care;emergency"
DKA,Condition,TRUE,Diabetic Ketoacidosis,,Life-threatening complication of diabetes with high blood sugar and ketones.,Admitted for DKA with glucose over 400.,,,"condition;endocrine;diabetes;emergency"
ARDS,Condition,TRUE,Acute Respiratory Distress Syndrome,,Severe lung condition causing fluid buildup and breathing failure.,Patient intubated for ARDS.,,,"condition;pulmonology;critical-care;emergency"
CHF,Condition,TRUE,Congestive Heart Failure,,Condition where heart cannot pump blood effectively causing fluid buildup.,CHF exacerbation with lower extremity edema.,,HF,"condition;cardiac"
AFib,Condition,TRUE,Atrial Fibrillation,,Irregular heart rhythm in the atria increasing stroke risk.,AFib with RVR requiring rate control.,,A-fib,"condition;cardiac;arrhythmia"
V-Fib,Condition,TRUE,Ventricular Fibrillation,,Life-threatening heart rhythm with no effective pumping.,V-Fib arrest requiring defibrillation.,,VF,"condition;cardiac;arrhythmia;emergency"
V-Tach,Condition,TRUE,Ventricular Tachycardia,,Rapid heart rhythm originating in ventricles.,Sustained V-Tach converted with cardioversion.,,VT,"condition;cardiac;arrhythmia;emergency"
SVT,Condition,TRUE,Supraventricular Tachycardia,,Rapid heart rhythm originating above ventricles.,SVT resolved with adenosine.,,,"condition;cardiac;arrhythmia"
