term,category,is_abbreviat,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Idio,Prefix,FALSE,Personal or Unknown,idio-,Personal or unknown cause.,Idiopathic has unknown cause.,{},"{}",{prefix}
Im,Prefix,FALSE,Not,im-,Not.,Immobile cannot move.,In,"{}",{prefix}
In,Prefix,FALSE,Not or Into,in-,Not or into.,Incision cuts into.,{},"{}",{prefix}
Infra,Prefix,FALSE,Below or Beneath,infra-,Below or beneath.,Infrared is below red spectrum.,Sub,"{}",{prefix}
Inter,Prefix,FALSE,Between,inter-,Between.,Intercostal muscles are between ribs.,{},"{}",{prefix}
Intra,Prefix,FALSE,Within,intra-,Within or inside.,Intravenous is within a vein.,{},"{}",{prefix}
Intro,Prefix,FALSE,Into or Within,intro-,Into or within.,Introvert turns inward.,{},"{}",{prefix}
Ipsi,Prefix,FALSE,Same,ipsi-,Same side.,Ipsilateral is same side.,{},"{}",{prefix}
Iso,Prefix,FALSE,Equal or Same,iso-,Equal or same.,Isotonic has equal concentration.,{},"{}",{prefix}
Juxta,Prefix,FALSE,Near or Beside,juxta-,Near or beside.,Juxtaglomerular is near glomerulus.,{},"{}",{prefix}
Macro,Prefix,FALSE,Large,macro-,Large or long.,Macrocephaly is abnormally large head.,Mega,"{}",{prefix}
Mal,Prefix,FALSE,Bad or Poor,mal-,Bad or poor or ill.,Malnutrition is poor nutrition.,{},"{}",{prefix}
Mega,Prefix,FALSE,Large or Enlarged,mega-,Large or enlarged or million.,Megacolon is enlarged colon.,Macro,"{}",{prefix}
Meso,Prefix,FALSE,Middle,meso-,Middle.,Mesoderm is middle germ layer.,{},"{}",{prefix}
Meta,Prefix,FALSE,Change or Beyond,meta-,Change or beyond or after.,Metabolism is chemical change.,{},"{}",{prefix}
Micro,Prefix,FALSE,Small,micro-,Small or millionth.,Microscope views small objects.,{},"{}",{prefix}
Milli,Prefix,FALSE,One-Thousandth,milli-,One-thousandth.,Milligram is one-thousandth gram.,{},"{}",{prefix}
Mono,Prefix,FALSE,One or Single,mono-,One or single.,Mononucleosis affects one type of white blood cell.,Uni,"{}",{prefix}
Multi,Prefix,FALSE,Many,multi-,Many.,Multipara has had multiple births.,Poly,"{}",{prefix}
Neo,Prefix,FALSE,New,neo-,New.,Neonate is a newborn.,{},"{}",{prefix}
Nulli,Prefix,FALSE,None,nulli-,None.,Nullipara has had no births.,{},"{}",{prefix}
Oligo,Prefix,FALSE,Few or Scanty,oligo-,Few or scanty or deficient.,Oliguria is decreased urine output.,{},"{}",{prefix}
Ortho,Prefix,FALSE,Straight or Correct,ortho-,Straight or correct or normal.,Orthopedics corrects bone deformities.,{},"{}",{prefix}
Pan,Prefix,FALSE,All,pan-,All or entire.,Pandemic affects all people.,{},"{}",{prefix}
Para,Prefix,FALSE,Beside or Abnormal,para-,"Beside, near or abnormal.",Parathyroid is beside the thyroid.,{},"{}",{prefix}
Per,Prefix,FALSE,Through or Excessive,per-,Through or excessive or completely.,Percutaneous is through skin.,{},"{}",{prefix}
Peri,Prefix,FALSE,Around,peri-,Around or surrounding.,Pericardium is around the heart.,{},"{}",{prefix}
Poly,Prefix,FALSE,Many or Much,poly-,Many or much or excessive.,Polydipsia is excessive thirst.,Multi,"{}",{prefix}
Post,Prefix,FALSE,After,post-,After or behind.,Postoperative care is after surgery.,{},"{}",{prefix}
Pre,Prefix,FALSE,Before,pre-,Before or in front of.,Prenatal care is before birth.,Ante,"{}",{prefix}
Primi,Prefix,FALSE,First,primi-,First.,Primigravida is first pregnancy.,{},"{}",{prefix}
Pro,Prefix,FALSE,Before or Forward,pro-,Before or forward or favoring.,Prognosis is forecast of disease outcome.,{},"{}",{prefix}
Pseudo,Prefix,FALSE,False,pseudo-,False.,Pseudocyst is false cyst.,{},"{}",{prefix}
Quadri,Prefix,FALSE,Four,quadri-,Four.,Quadriplegia is paralysis of all four limbs.,Tetra,"{}",{prefix}
Re,Prefix,FALSE,Back or Again,re-,Back or again.,Reinfection is infection again.,{},"{}",{prefix}
Retro,Prefix,FALSE,Behind or Backward,retro-,Behind or backward.,Retroperitoneal is behind the peritoneum.,{},"{}",{prefix}
Semi,Prefix,FALSE,Half or Partial,semi-,Half or partial.,Semiconscious is partially conscious.,Hemi,"{}",{prefix}
Sub,Prefix,FALSE,Below or Under,sub-,Below or under or less than.,Subcutaneous is under the skin.,Hypo,"{}",{prefix}
Super,Prefix,FALSE,Above or Excess,super-,Above or excess or superior.,Superficial is on surface.,Supra,"{}",{prefix}
Supra,Prefix,FALSE,Above or Over,supra-,Above or over.,Suprapubic is above the pubic bone.,Super,"{}",{prefix}
Syn,Prefix,FALSE,Together or With,syn-,Together or with or joined.,Syndrome is group of symptoms.,Sym,"{}",{prefix}
Sym,Prefix,FALSE,Together or With,sym-,Together or with.,Symphysis is junction.,Syn,"{}",{prefix}
Tachy,Prefix,FALSE,Fast or Rapid,tachy-,Fast or rapid.,Tachycardia is fast heart rate.,{},"{}",{prefix}
Tetra,Prefix,FALSE,Four,tetra-,Four.,Tetralogy has four defects.,Quadri,"{}",{prefix}
Trans,Prefix,FALSE,Across or Through,trans-,Across or through.,Transdermal is through the skin.,{},"{}",{prefix}
Tri,Prefix,FALSE,Three,tri-,Three.,Tricuspid valve has three flaps.,{},"{}",{prefix}
Ultra,Prefix,FALSE,Beyond or Excess,ultra-,Beyond or excess.,Ultrasound uses high frequency.,{},"{}",{prefix}
Uni,Prefix,FALSE,One,uni-,One.,Unilateral affects one side.,Mono,"{}",{prefix}
