term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
QI,Workflow,TRUE,Quality Improvement,,Systematic approach to improving healthcare processes.,The QI team reduced hospital infections.,,,"acronym;quality;healthcare-system"
MAR,Documentation,TRUE,Medication Administration Record,,Document tracking all medications given to a patient.,Nurses document all doses on the MAR.,,,"acronym;documentation;medication"
POMR,Documentation,TRUE,Problem-Oriented Medical Record,,Method of recording patient information by problem.,POMR organizes complex patient histories.,,,"acronym;documentation"
AED,Workflow,TRUE,Automated External Defibrillator,,Portable device that checks heart rhythm and delivers shock.,AEDs are available in public spaces.,,,"acronym;equipment;emergency;cardiovascular"
LVAD,Workflow,TRUE,Left Ventricular Assist Device,,Mechanical pump supporting heart function.,LVAD serves as bridge to transplant.,,,"acronym;equipment;cardiovascular"
CPAP,Workflow,TRUE,Continuous Positive Airway Pressure,,Device delivering constant air pressure for sleep apnea.,CPAP therapy improves sleep quality.,,,"acronym;equipment;respiratory"
BiPAP,Workflow,TRUE,Bilevel Positive Airway Pressure,,Device delivering two levels of air pressure for breathing support.,BiPAP is used for respiratory failure.,,,"acronym;equipment;respiratory"
PEEP,Workflow,TRUE,Positive End-Expiratory Pressure,,Pressure in lungs at end of expiration during mechanical ventilation.,PEEP prevents alveolar collapse.,,,"acronym;respiratory;ventilation"
FiO2,Workflow,TRUE,Fraction of Inspired Oxygen,,Percentage of oxygen in air being breathed.,Room air has FiO2 of 21%.,,,"acronym;respiratory;measurement"
ABG,Workflow,TRUE,Arterial Blood Gas,,Test measuring blood oxygen carbon dioxide and pH.,ABG results guide respiratory management.,,,"acronym;lab-test;respiratory"
INR,Workflow,TRUE,International Normalized Ratio,,Blood test measuring clotting time.,INR monitoring is essential for warfarin therapy.,,,"acronym;lab-test;hematology"
PTT,Workflow,TRUE,Partial Thromboplastin Time,,Blood test measuring clotting time.,PTT monitors heparin therapy.,Activated Partial Thromboplastin Time,aPTT,"acronym;lab-test;hematology"
PT,Workflow,TRUE,Prothrombin Time,,Blood test measuring blood clotting time.,PT is elevated in liver disease.,,,"acronym;lab-test;hematology"
ESR,Workflow,TRUE,Erythrocyte Sedimentation Rate,,Blood test measuring inflammation.,Elevated ESR suggests inflammatory process.,Sed Rate,,"acronym;lab-test;hematology"
CRP,Workflow,TRUE,C-Reactive Protein,,Blood test measuring inflammation.,CRP is elevated in infection and inflammation.,,,"acronym;lab-test;inflammatory-marker"
BNP,Workflow,TRUE,B-Type Natriuretic Peptide,,Blood test measuring heart failure severity.,Elevated BNP indicates heart failure.,,,"acronym;lab-test;cardiovascular"
PSA,Workflow,TRUE,Prostate-Specific Antigen,,Blood test screening for prostate cancer.,Annual PSA testing for men over 50.,,,"acronym;lab-test;oncology;urology"
TSH,Workflow,TRUE,Thyroid-Stimulating Hormone,,Blood test measuring thyroid function.,Abnormal TSH indicates thyroid disorder.,,,"acronym;lab-test;endocrine"
HbA1c,Workflow,TRUE,Hemoglobin A1c,,Blood test measuring average glucose over 3 months.,HbA1c monitors diabetes control.,Glycated Hemoglobin,A1C,"acronym;lab-test;endocrine"
LDL,Workflow,TRUE,Low-Density Lipoprotein,,Bad cholesterol that increases heart disease risk.,High LDL requires lifestyle changes.,,,"acronym;lab-test;cardiovascular"
HDL,Workflow,TRUE,High-Density Lipoprotein,,Good cholesterol that protects against heart disease.,High HDL is protective.,,,"acronym;lab-test;cardiovascular"
VLDL,Workflow,TRUE,Very Low-Density Lipoprotein,,Type of cholesterol carrying triglycerides.,Elevated VLDL increases cardiovascular risk.,,,"acronym;lab-test;cardiovascular"
LFT,Workflow,TRUE,Liver Function Test,,Blood tests assessing liver health.,Abnormal LFTs suggest liver disease.,,,"acronym;lab-test;hepatology"
BMP,Workflow,TRUE,Basic Metabolic Panel,,Blood test measuring electrolytes and kidney function.,BMP includes glucose sodium potassium and creatinine.,,,"acronym;lab-test"
CMP,Workflow,TRUE,Comprehensive Metabolic Panel,,Expanded blood test including liver and kidney function.,CMP includes all BMP tests plus liver enzymes.,,,"acronym;lab-test"
CBC,Workflow,TRUE,Complete Blood Count,,Blood test measuring blood cell components.,CBC screens for anemia and infection.,,,"acronym;lab-test;hematology"
