term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
BAA,Regulatory,TRUE,Business Associate Agreement,,Contract requiring vendors to protect patient information.,Sign BAA before sharing data.,{},{},"{regulatory,compliance,privacy}"
Covered Entity,Regulatory,FALSE,Covered Entity,,Healthcare providers and organizations that must follow HIPAA.,Hospitals are covered entities.,{},{},"{regulatory,compliance}"
HITECH,Regulatory,TRUE,Health Information Technology for Economic and Clinical Health,,Law strengthening HIPAA with stricter penalties.,HITECH increased HIPAA enforcement.,{},{},"{regulatory,compliance}"
Meaningful Use,Regulatory,FALSE,Meaningful Use,,Requirements for using electronic health records to improve care.,Achieve meaningful use measures.,{},{},"{regulatory,compliance,ehr}"
CMS,Regulatory,TRUE,Centers for Medicare and Medicaid Services,,Federal agency overseeing Medicare and Medicaid.,CMS sets reimbursement rates.,{},{},"{regulatory,government}"
Medicare,Regulatory,FALSE,Medicare,,Federal health insurance for people 65 and older.,Medicare Part A covers hospital.,{},{},"{regulatory,insurance,government}"
Medicaid,Regulatory,FALSE,Medicaid,,State and federal health insurance for low-income people.,Medicaid eligibility varies by state.,{},{},"{regulatory,insurance,government}"
MIPS,Regulatory,TRUE,Merit-based Incentive Payment System,,Medicare program tying provider payment to quality.,MIPS reporting deadline December 31.,{},{},"{regulatory,compliance,quality}"
MACRA,Regulatory,TRUE,Medicare Access and CHIP Reauthorization Act,,Law changing how Medicare pays doctors.,MACRA replaced fee-for-service.,{},{},"{regulatory,compliance}"
QPP,Regulatory,TRUE,Quality Payment Program,,Medicare program rewarding quality over quantity.,Participate in QPP.,{},{},"{regulatory,compliance,quality}"
HEDIS,Regulatory,TRUE,Healthcare Effectiveness Data and Information Set,,Quality measures for health plans.,HEDIS measures diabetes care.,{},{},"{regulatory,compliance,quality}"
NCQA,Regulatory,TRUE,National Committee for Quality Assurance,,Organization accrediting health plans and providers.,NCQA accreditation.,{},{},"{regulatory,compliance,quality}"
Joint Commission,Regulatory,FALSE,Joint Commission,,Organization accrediting hospitals and healthcare organizations.,Joint Commission survey next month.,{},"{TJC,JCAHO}","{regulatory,compliance,quality}"
EMTALA,Regulatory,TRUE,Emergency Medical Treatment and Labor Act,,Law requiring emergency rooms to treat everyone.,EMTALA requires screening exam.,{},{},"{regulatory,compliance,emergency}"
Stark Law,Regulatory,FALSE,Stark Law,,Law prohibiting doctors from referring to facilities they own.,Stark Law prevents self-referral.,{},{},"{regulatory,compliance}"
Anti-Kickback,Regulatory,FALSE,Anti-Kickback Statute,,Law prohibiting paying for patient referrals.,Anti-kickback violation.,{},{},"{regulatory,compliance}"
False Claims Act,Regulatory,FALSE,False Claims Act,,Law penalizing fraudulent billing to government programs.,False claims penalties severe.,{},{},"{regulatory,compliance}"
Compliance,Regulatory,FALSE,Compliance,,Following laws rules and regulations.,Compliance training required.,{},{},{regulatory}
Quality Measure,Regulatory,FALSE,Quality Measure,,Standard used to evaluate healthcare quality.,Track quality measures.,{},{quality metric},"{regulatory,quality}"
Core Measure,Regulatory,FALSE,Core Measure,,Important quality standards required by regulators.,Hospital core measures.,{},{},"{regulatory,quality}"
Readmission,Regulatory,FALSE,Hospital Readmission,,When patient returns to hospital within 30 days.,Reduce readmission rates.,{},{},"{regulatory,quality,hospital}"
ACO,Regulatory,TRUE,Accountable Care Organization,,Group of providers working together to improve quality and reduce costs.,Join an ACO.,{},{},"{regulatory,value-based-care}"
PCMH,Regulatory,TRUE,Patient-Centered Medical Home,,Primary care practice meeting quality standards.,PCMH recognition.,{},{},"{regulatory,primary-care,quality}"
Value-Based Care,Regulatory,FALSE,Value-Based Care,,Payment model rewarding quality outcomes not volume.,Shift to value-based care.,{},{},"{regulatory,payment}"
Fee-for-Service,Regulatory,FALSE,Fee-for-Service,,Payment model paying for each service provided.,Traditional fee-for-service model.,{},{FFS},"{regulatory,payment}"
Capitation,Regulatory,FALSE,Capitation,,Payment model paying fixed amount per patient.,Capitated payment per member.,{},{},"{regulatory,payment}"
Bundled Payment,Regulatory,FALSE,Bundled Payment,,Single payment covering entire episode of care.,Bundled payment for joint replacement.,{},{},"{regulatory,payment}"
Risk Adjustment,Regulatory,FALSE,Risk Adjustment,,Adjusting payments based on patient health complexity.,Risk adjustment for sicker patients.,{},{},"{regulatory,payment}"
Case Mix,Regulatory,FALSE,Case Mix,,Measure of patient complexity in a facility.,High case mix index.,{},{},"{regulatory,hospital}"
DRG,Regulatory,TRUE,Diagnosis-Related Group,,System grouping hospital cases for payment.,DRG determines reimbursement.,{},{},"{regulatory,payment,hospital}"
ICD,Regulatory,TRUE,International Classification of Diseases,,Standard codes for diagnoses.,ICD-10 code for pneumonia.,{},{ICD-10},"{regulatory,coding}"
CPT,Regulatory,TRUE,Current Procedural Terminology,,Standard codes for procedures and services.,CPT code for office visit.,{},{},"{regulatory,coding}"
E&M,Regulatory,TRUE,Evaluation and Management,,Codes for office visits and consultations.,E&M code selection.,{},{},"{regulatory,coding}"
Modifier,Regulatory,FALSE,Billing Modifier,,Code added to show special circumstances.,Add modifier 25 to E&M.,{},{},"{regulatory,coding}"
Upcoding,Regulatory,FALSE,Upcoding,,Illegally billing for more complex service than provided.,Upcoding is fraud.,{},{},"{regulatory,compliance,coding}"
Downcoding,Regulatory,FALSE,Downcoding,,When insurance reduces payment by changing code.,Claim downcoded.,{},{},"{regulatory,coding}"
Medical Coding,Regulatory,FALSE,Medical Coding,,Converting diagnoses and procedures to numeric codes.,Medical coding for billing.,{},{},"{regulatory,coding}"
Medical Billing,Regulatory,FALSE,Medical Billing,,Submitting claims to insurance for payment.,Medical billing department.,{},{},"{regulatory,billing}"
Charge Capture,Regulatory,FALSE,Charge Capture,,Recording all services provided for billing.,Charge capture in EHR.,{},{},"{regulatory,billing}"
Clean Claim,Regulatory,FALSE,Clean Claim,,Insurance claim with no errors that processes quickly.,Submit clean claims.,{},{},"{regulatory,billing}"
Rejected Claim,Regulatory,FALSE,Rejected Claim,,Claim returned due to errors before processing.,Fix rejected claim.,{},{},"{regulatory,billing}"
Denied Claim,Regulatory,FALSE,Denied Claim,,Claim processed but not paid.,Appeal denied claim.,{},{},"{regulatory,billing}"
Appeal,Regulatory,FALSE,Insurance Appeal,,Requesting insurance to reconsider denied claim.,File appeal within 30 days.,{},{},"{regulatory,billing,insurance}"
Remittance,Regulatory,FALSE,Remittance Advice,,Statement showing what insurance paid.,Review remittance for payment.,{},"{ERA,EOB}","{regulatory,billing}"
PCP,Staff,TRUE,Primary Care Physician,,Main doctor providing general healthcare.,Established with PCP.,{},{primary care provider},"{staff,role}"
Attending,Staff,FALSE,Attending Physician,,Supervising doctor responsible for patient care.,Attending made final decision.,{},{},"{staff,role}"
Resident,Staff,FALSE,Medical Resident,,Doctor in training after medical school.,Resident presented case.,{},{},"{staff,role,trainee}"
Intern,Staff,FALSE,Medical Intern,,First-year resident doctor.,Intern on overnight call.,{},{},"{staff,role,trainee}"
Fellow,Staff,FALSE,Medical Fellow,,Doctor in specialty training after residency.,Cardiology fellow.,{},{},"{staff,role,trainee}"
Medical Student,Staff,FALSE,Medical Student,,Student training to become a doctor.,Medical student shadowing.,{},{},"{staff,role,trainee}"
APP,Staff,TRUE,Advanced Practice Provider,,Nurse practitioner or physician assistant.,APP saw patient.,{},{mid-level provider},"{staff,role}"
NP,Staff,TRUE,Nurse Practitioner,,Advanced practice nurse who can diagnose and prescribe.,NP manages diabetes.,{},{},"{staff,role}"
PA,Staff,TRUE,Physician Assistant,,Licensed provider who works with physicians.,PA-C assisted in surgery.,{},{PA-C},"{staff,role}"
RN,Staff,TRUE,Registered Nurse,,Licensed nurse providing patient care.,RN administered medication.,{},{},"{staff,role}"
LPN,Staff,TRUE,Licensed Practical Nurse,,Nurse providing basic care under RN supervision.,LPN checked vitals.,{},{LVN},"{staff,role}"
CNA,Staff,TRUE,Certified Nursing Assistant,,Nursing assistant helping with basic patient care.,CNA helped patient to bathroom.,{},{},"{staff,role}"
MA,Staff,TRUE,Medical Assistant,,Assistant helping with clinical and clerical tasks.,MA roomed the patient.,{},{},"{staff,role}"
Scribe,Staff,FALSE,Medical Scribe,,Person who documents for provider during visits.,Scribe entered note in real-time.,{},{},"{staff,role}"
Pharmacist,Staff,FALSE,Pharmacist,,Licensed professional who prepares and dispenses medications.,Pharmacist reviewed medications.,{},"{PharmD,RPh}","{staff,role}"
Pharmacy Technician,Staff,FALSE,Pharmacy Technician,,Assistant helping pharmacist.,Pharmacy tech filled prescription.,{},{pharm tech},"{staff,role}"
Respiratory Therapist,Staff,FALSE,Respiratory Therapist,,Professional treating breathing and lung problems.,RT gave breathing treatment.,{},{RT},"{staff,role}"
Physical Therapist,Staff,FALSE,Physical Therapist,,Professional helping patients regain movement and strength.,PT evaluated mobility.,{},{},"{staff,role}"
Occupational Therapist,Staff,FALSE,Occupational Therapist,,Professional helping patients with daily living activities.,OT assessed hand function.,{},{OT},"{staff,role}"
Speech Therapist,Staff,FALSE,Speech-Language Pathologist,,Professional treating speech and swallowing problems.,Speech therapist evaluated swallow.,{},"{SLP,speech therapy}","{staff,role}"
Dietitian,Staff,FALSE,Registered Dietitian,,Professional providing nutrition counseling.,Dietitian created meal plan.,{},"{nutritionist,RD}","{staff,role}"
Social Worker,Staff,FALSE,Social Worker,,Professional helping with social and emotional needs.,Social worker arranged home care.,{},"{SW,LSW,LCSW}","{staff,role}"
Case Manager,Staff,FALSE,Case Manager,,Professional coordinating patient care and resources.,Case manager scheduled follow-up.,{},{care coordinator},"{staff,role}"
Patient Navigator,Staff,FALSE,Patient Navigator,,Staff helping patients navigate healthcare system.,Navigator helped schedule appointments.,{},{},"{staff,role}"
Care Coordinator,Staff,FALSE,Care Coordinator,,Staff organizing and managing patient care.,Care coordinator called patient.,{},{},"{staff,role}"
Referral Coordinator,Staff,FALSE,Referral Coordinator,,Staff managing specialist referrals.,Referral coordinator scheduled appointment.,{},{},"{staff,role}"
Scheduler,Staff,FALSE,Scheduler,,Staff scheduling patient appointments.,Scheduler called to confirm.,{},{appointment coordinator},"{staff,role}"
Front Desk,Staff,FALSE,Front Desk Staff,,Staff greeting patients and managing check-in.,Front desk collected copay.,{},{receptionist},"{staff,role}"
Medical Records,Staff,FALSE,Medical Records Staff,,Staff managing patient charts and documents.,Medical records released information.,{},"{health information management,HIM}","{staff,role}"
Billing Staff,Staff,FALSE,Billing Staff,,Staff submitting insurance claims and collecting payment.,Billing department sent statement.,{},{},"{staff,role}"
Coder,Staff,FALSE,Medical Coder,,Staff assigning diagnostic and procedure codes.,Coder reviewed chart for accuracy.,{},{},"{staff,role}"
Radiology Technician,Staff,FALSE,Radiology Technician,,Technician performing X-rays and imaging.,Rad tech took chest X-ray.,{},"{rad tech,radiologic technologist}","{staff,role}"
Lab Technician,Staff,FALSE,Laboratory Technician,,Technician performing lab tests.,Lab tech drew blood.,{},"{phlebotomist,medical technologist}","{staff,role}"
Surgical Tech,Staff,FALSE,Surgical Technologist,,Technician assisting in surgery.,Surgical tech prepared instruments.,{},{scrub tech},"{staff,role}"
Anesthesiologist,Staff,FALSE,Anesthesiologist,,Doctor providing anesthesia for surgery.,Anesthesiologist intubated patient.,{},{},"{staff,role}"
CRNA,Staff,TRUE,Certified Registered Nurse Anesthetist,,Advanced practice nurse providing anesthesia.,CRNA gave spinal anesthesia.,{},{},"{staff,role}"
Paramedic,Staff,FALSE,Paramedic,,Emergency medical professional on ambulance.,Paramedic started IV.,{},{EMT-P},"{staff,role}"
EMT,Staff,TRUE,Emergency Medical Technician,,Emergency medical professional providing basic care.,EMT provided first aid.,{},{},"{staff,role}"
ER Tech,Staff,FALSE,Emergency Room Technician,,Technician assisting in emergency room.,ER tech splinted arm.,{},{},"{staff,role}"
Unit Clerk,Staff,FALSE,Unit Clerk,,Staff doing clerical work on hospital unit.,Unit clerk answered phone.,{},{unit secretary},"{staff,role}"
Patient Advocate,Staff,FALSE,Patient Advocate,,Staff helping resolve patient concerns.,Patient advocate addressed complaint.,{},{},"{staff,role}"
Quality Coordinator,Staff,FALSE,Quality Improvement Coordinator,,Staff working on quality improvement projects.,Quality coordinator tracked metrics.,{},{},"{staff,role}"
Infection Preventionist,Staff,FALSE,Infection Preventionist,,Staff preventing and controlling infections.,IP investigated outbreak.,{},{infection control},"{staff,role}"
Risk Manager,Staff,FALSE,Risk Manager,,Staff managing patient safety and liability.,Risk manager reviewed incident.,{},{},"{staff,role}"
Compliance Officer,Staff,FALSE,Compliance Officer,,Staff ensuring rules and regulations are followed.,Compliance officer conducted audit.,{},{},"{staff,role}"
Connection Center,Workflow,FALSE,Connection Center,,Centralized call center handling patient calls and scheduling.,Connection center scheduled appointment.,{},"{call center,contact center}",{workflow}
Patient Experience,Workflow,FALSE,Patient Experience,,How patients feel about their healthcare.,Improve patient experience scores.,{},{},"{workflow,quality}"
Patient Satisfaction,Workflow,FALSE,Patient Satisfaction,,How happy patients are with their care.,Patient satisfaction survey.,{},{},"{workflow,quality}"
Press Ganey,Workflow,FALSE,Press Ganey,,Company measuring patient satisfaction.,Press Ganey scores improved.,{},{},"{workflow,quality}"
HCAHPS,Regulatory,TRUE,Hospital Consumer Assessment of Healthcare Providers and Systems,,Survey measuring hospital patient experience.,HCAHPS scores affect reimbursement.,{},{},"{regulatory,quality,hospital}"
