term,category,is_abbreviat,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Plantar,Anatomical Direction,FALSE,Sole Side,plantar,Relating to the sole of the foot.,Plantar fasciitis affects the foot bottom.,{},"{}",{anatomical_direction}
Dorsal Foot,Anatomical Direction,FALSE,Top of Foot,dorsal,Relating to the top of the foot.,The dorsal pedis pulse is on foot top.,{},"{}",{anatomical_direction}
Radial,Anatomical Direction,FALSE,Thumb Side,radial,Toward the radius or thumb side of forearm.,The radial artery is on the thumb side.,{},"{}",{anatomical_direction}
Ulnar,Anatomical Direction,FALSE,Pinky Side,ulnar,Toward the ulna or pinky side of forearm.,The ulnar nerve runs along pinky side.,{},"{}",{anatomical_direction}
Tibial,Anatomical Direction,FALSE,Big Toe Side,tibial,Toward the tibia or medial side of leg.,The tibial nerve runs medially.,{},"{}",{anatomical_direction}
Fibular,Anatomical Direction,FALSE,Little Toe Side,fibular,Toward the fibula or lateral side of leg.,The fibular artery runs laterally.,Peroneal,"{}",{anatomical_direction}
Rostral,Anatomical Direction,FALSE,Toward the Nose,rostral,Toward the nose or front of head.,The frontal lobe is rostral to occipital.,{},"{}",{anatomical_direction}
Apical,Anatomical Direction,FALSE,Toward the Apex,apical,Relating to or located at the apex.,The apical pulse is at heart apex.,{},"{}",{anatomical_direction}
Basal,Anatomical Direction,FALSE,Toward the Base,basal,Relating to or located at the base.,The basal ganglia are at brain base.,{},"{}",{anatomical_direction}
Central,Anatomical Direction,FALSE,At the Center,central,At or near the center of body or structure.,The central nervous system includes brain.,{},"{}",{anatomical_direction}
Peripheral,Anatomical Direction,FALSE,Away from Center,peripheral,Away from the center toward the surface.,Peripheral nerves extend to limbs.,{},"{}",{anatomical_direction}
Parietal,Anatomical Direction,FALSE,Outer Wall Layer,parietal,Relating to the outer wall of a cavity.,The parietal pleura lines the chest wall.,{},"{}",{anatomical_direction}
Visceral,Anatomical Direction,FALSE,Organ Layer,visceral,Relating to internal organs or their covering.,The visceral pleura covers the lungs.,{},"{}",{anatomical_direction}
Intermediate,Anatomical Direction,FALSE,Between Two Structures,intermediate,Between a medial and lateral structure.,The intermediate cuneiform is in the midfoot.,{},"{}",{anatomical_direction}
Anatomical Position,Body Position,FALSE,Standard Reference Position,anatomical position,Erect standing position with arms at sides and palms forward.,Anatomical position is used for all descriptions.,{},"{}",{body_position}
Supine,Body Position,FALSE,Lying Face Up,supine,Lying horizontally on the back face upward.,The patient was placed supine for surgery.,{},"{}",{body_position}
Prone,Body Position,FALSE,Lying Face Down,prone,Lying horizontally on the stomach face downward.,Prone positioning improves oxygenation.,{},"{}",{body_position}
Lateral Recumbent,Body Position,FALSE,Lying on Side,lateral recumbent,Lying on the left or right side.,Lateral recumbent position for injections.,Side-lying,"{}",{body_position}
Fowler,Body Position,FALSE,Semi-Sitting Position,fowler,Sitting position with head of bed elevated 45-60 degrees.,Fowler position aids breathing.,{},"{}",{body_position}
Semi-Fowler,Body Position,FALSE,Low Semi-Sitting,semi-fowler,Head of bed elevated 30-45 degrees.,Semi-Fowler reduces aspiration risk.,{},"{}",{body_position}
High-Fowler,Body Position,FALSE,High Semi-Sitting,high-fowler,Head of bed elevated 80-90 degrees.,High-Fowler position for eating.,{},"{}",{body_position}
Trendelenburg,Body Position,FALSE,Head Down Position,trendelenburg,Supine with head lower than feet.,Trendelenburg position increases venous return.,{},"{}",{body_position}
Reverse Trendelenburg,Body Position,FALSE,Head Up Position,reverse trendelenburg,Supine with head higher than feet.,Reverse Trendelenburg reduces reflux.,{},"{}",{body_position}
Lithotomy,Body Position,FALSE,Legs Elevated Position,lithotomy,Supine with hips and knees flexed and legs elevated.,Lithotomy position used for pelvic exams.,{},"{}",{body_position}
Sims,Body Position,FALSE,Left Lateral Position,sims,Left lateral position with right knee flexed.,Sims position used for rectal examination.,{},"{}",{body_position}
Knee-Chest,Body Position,FALSE,Kneeling Position,knee-chest,Kneeling with chest resting on bed.,Knee-chest position for certain procedures.,Genupectoral,"{}",{body_position}
Standing,Body Position,FALSE,Erect Upright,standing,Upright position on both feet.,Standing X-rays show weight-bearing alignment.,Erect,"{}",{body_position}
Sitting,Body Position,FALSE,Seated Position,sitting,Position with buttocks on surface and back upright.,Sitting position for blood pressure measurement.,{},"{}",{body_position}
Jackknife,Body Position,FALSE,Hip Flexed Position,jackknife,Prone with hips elevated and flexed.,Jackknife position for rectal surgery.,Kraske,"{}",{body_position}
Recovery Position,Body Position,FALSE,Safe Unconscious Position,recovery position,Lateral recumbent with top leg flexed forward.,Recovery position prevents aspiration.,{},"{}",{body_position}
Decubitus,Body Position,FALSE,Lying Down Position,decubitus,General term for any lying down position.,Decubitus ulcers develop from prolonged pressure.,Recumbent,"{}",{body_position}
Orthopneic,Body Position,FALSE,Forward Leaning Sitting,orthopneic,Sitting upright leaning forward with arms supported.,Orthopneic position eases breathing difficulty.,{},"{}",{body_position}
Sagittal,Anatomical Plane,FALSE,Divides Left and Right,sagittal,Vertical plane dividing body into left and right portions.,Sagittal plane runs front to back.,"Median, Midsagittal","{}",{anatomical_plane}
Midsagittal,Anatomical Plane,FALSE,Divides Equally Left and Right,midsagittal,Vertical plane dividing body into equal left and right halves.,Midsagittal plane passes through midline.,Median,"{}",{anatomical_plane}
Parasagittal,Anatomical Plane,FALSE,Parallel to Midsagittal,parasagittal,Vertical plane parallel to midsagittal plane off-center.,Parasagittal plane creates unequal left and right portions.,{},"{}",{anatomical_plane}
Frontal,Anatomical Plane,FALSE,Divides Front and Back,frontal,Vertical plane dividing body into anterior and posterior portions.,Frontal plane runs side to side.,Coronal,"{}",{anatomical_plane}
Coronal,Anatomical Plane,FALSE,Divides Front and Back,coronal,Vertical plane dividing body into front and back portions.,Coronal plane separates anterior from posterior.,Frontal,"{}",{anatomical_plane}
Transverse,Anatomical Plane,FALSE,Divides Top and Bottom,transverse,Horizontal plane dividing body into superior and inferior portions.,Transverse plane creates cross-sections.,"Horizontal, Axial","{}",{anatomical_plane}
Horizontal,Anatomical Plane,FALSE,Divides Top and Bottom,horizontal,Plane parallel to the ground dividing body into upper and lower.,Horizontal plane is perpendicular to vertical.,Transverse,"{}",{anatomical_plane}
Axial,Anatomical Plane,FALSE,Divides Top and Bottom,axial,Horizontal plane perpendicular to long axis of body.,Axial CT scans show cross-sections.,Transverse,"{}",{anatomical_plane}
Oblique,Anatomical Plane,FALSE,Angled Plane,oblique,Plane at an angle to the standard anatomical planes.,Oblique X-ray shows angled view.,{},"{}",{anatomical_plane}
Longitudinal,Anatomical Plane,FALSE,Along Long Axis,longitudinal,Plane running lengthwise along the body.,Longitudinal section shows length of structure.,{},"{}",{anatomical_plane}
Cross-Sectional,Anatomical Plane,FALSE,Perpendicular Cut,cross-sectional,Plane perpendicular to long axis.,Cross-sectional view shows internal structure.,{},"{}",{anatomical_plane}
